tinh,huyen,xa,diaban,hoso,matv,hsize,m1ac2,m1ac3,age,HH_Income,HH_consumption,HH_consumption_avr,HH_Wealth
101,7,37,15,13,1,4,1,1,61,78915.0,105425.5,26356.375,0.0
101,7,37,15,14,1,2,1,1,79,0.0,30667.1,15333.55,0.0
101,8,3,7,13,1,4,1,1,44,43443.0,42114.5,10528.625,0.0
101,8,3,7,14,1,3,1,1,55,20151.0,27936.300000000003,9312.1,0.0
101,8,3,7,15,1,4,1,1,49,0.0,41673.8,10418.45,8500.0
101,8,5,16,13,1,4,1,1,30,77418.0,110999.1,27749.775,0.0
101,8,5,16,14,1,5,1,1,34,81274.0,70640.6,14128.12,0.0
101,8,5,16,15,1,5,1,1,60,44489.0,59835.9,11967.18,0.0
101,8,7,18,14,1,4,1,1,50,119338.0,57922.5,14480.625,0.0
101,8,7,18,19,1,5,1,1,50,106070.0,71646.3,14329.26,0.0
101,8,7,18,20,1,4,1,1,56,23601.0,60370.4,15092.6,0.0
101,8,15,27,15,1,3,1,1,55,18367.0,35358.4,11786.133333333333,0.0
101,8,15,27,20,1,2,1,1,70,0.0,23862.2,11931.1,0.0
101,8,19,22,14,1,4,1,1,45,46651.0,57712.899999999994,14428.224999999999,0.0
101,8,19,22,15,1,4,1,1,41,21398.0,49487.7,12371.925,0.0
101,8,19,22,20,1,3,1,1,56,0.0,49990.5,16663.5,0.0
101,8,25,6,14,1,3,1,1,29,44540.0,26733.6,8911.199999999999,0.0
101,8,25,6,15,1,3,1,1,35,62907.0,45711.8,15237.266666666668,0.0
101,8,25,6,19,1,3,1,1,29,0.0,27226.899999999998,9075.633333333333,0.0
101,8,27,16,13,1,7,1,1,56,73006.0,96890.1,13841.442857142858,0.0
101,9,3,23,13,1,3,1,1,42,56020.0,38064.7,12688.233333333332,0.0
101,9,3,23,14,1,2,1,1,70,0.0,22504.6,11252.3,0.0
101,9,3,23,15,1,3,1,1,50,78757.0,57722.0,19240.666666666668,0.0
101,9,5,8,14,1,3,1,1,66,61672.0,48071.1,16023.699999999999,0.0
101,9,5,8,15,1,4,1,1,45,16008.0,35355.4,8838.85,5440.0
101,9,11,35,13,1,2,1,1,25,46469.0,41264.3,20632.15,0.0
101,9,15,15,13,1,3,1,1,66,93172.0,53374.3,17791.433333333334,0.0
101,9,15,15,19,1,3,1,1,32,86585.0,69959.8,23319.933333333334,0.0
101,9,19,26,13,1,5,1,1,70,72091.0,105830.8,21166.16,0.0
101,9,23,11,15,1,4,1,1,43,33324.0,55585.4,13896.35,0.0
101,9,23,11,24,1,5,1,1,59,73286.0,53407.9,10681.58,0.0
101,9,31,10,13,1,4,1,1,71,53815.0,76142.9,19035.725,0.0
101,9,35,24,13,1,4,1,1,36,73928.0,51667.9,12916.975,0.0
101,9,35,24,14,1,1,1,1,74,0.0,13070.5,13070.5,0.0
101,9,35,24,20,1,4,1,1,38,57030.0,45589.2,11397.3,0.0
101,9,39,17,19,1,5,1,1,48,46234.0,60122.4,12024.48,0.0
101,9,39,17,20,1,6,1,1,60,44539.0,77106.3,12851.050000000001,0.0
101,11,1,10,13,1,3,1,1,43,68969.0,61151.0,20383.666666666668,0.0
101,11,1,10,14,1,4,1,1,53,72871.0,69730.2,17432.55,0.0
101,11,1,10,15,1,4,1,1,44,69795.0,58854.1,14713.525,0.0
101,11,3,17,13,1,3,1,1,44,93831.0,166592.6,55530.86666666667,0.0
101,11,3,17,15,1,4,1,1,46,218342.0,135923.7,33980.925,0.0
101,11,3,17,24,1,5,1,1,51,126088.0,86339.5,17267.9,0.0
101,11,5,24,14,1,5,1,1,45,91009.0,89064.7,17812.94,0.0
101,11,5,24,19,1,6,1,1,69,50050.0,85535.3,14255.883333333333,0.0
101,11,17,33,13,1,4,1,1,38,0.0,52872.6,13218.15,1000.0
101,11,17,33,14,1,4,1,1,42,52702.0,112555.4,28138.85,0.0
101,11,21,9,13,1,1,1,1,77,0.0,44497.1,44497.1,0.0
101,11,21,9,14,1,4,1,1,41,34981.0,46093.4,11523.35,0.0
101,11,21,9,15,1,4,1,1,50,58958.0,68360.0,17090.0,9600.0
101,13,1,13,13,1,4,1,1,61,4224.0,128530.0,32132.5,0.0
101,13,1,13,14,1,2,1,1,58,87055.0,78455.7,39227.85,0.0
101,13,1,13,20,1,2,1,1,66,0.0,79518.1,39759.05,0.0
101,13,5,19,15,1,4,1,1,81,0.0,53598.2,13399.55,0.0
