tinh,huyen,xa,diaban,hoso,matv,hsize,m1ac2,m1ac3,age,indi_income,HH_Income,hsize_working,indi_work_hours,hh_work_hours,avg_work_hours,HH_consumption,HH_consumption_avr,HH_Wealth
101,7,11,15,15,1,5,1,1,75,99384.0,158864.0,2.0,3360.0,6384.0,3192.0,114853.7,22970.739999999998,0.0
101,7,19,25,13,1,5,1,1,75,17540.0,63183.0,2.0,2112.0,4416.0,2208.0,78675.4,15735.079999999998,0.0
101,7,21,16,15,1,6,1,1,92,72403.0,79015.0,2.0,2496.0,2976.0,1488.0,77457.4,12909.566666666666,1200.0
101,7,21,16,20,1,4,1,1,50,28119.0,28119.0,1.0,2496.0,2496.0,2496.0,70526.20000000001,17631.550000000003,0.0
101,7,27,3,15,1,5,1,1,56,25210.0,53300.0,2.0,2496.0,4992.0,2496.0,57762.5,11552.5,0.0
101,7,33,21,15,1,3,1,1,50,62209.0,106820.0,2.0,2112.0,4224.0,2112.0,444434.3,148144.76666666666,0.0
101,7,37,15,13,1,4,1,1,61,40940.0,78915.0,2.0,3000.0,5112.0,2556.0,105425.5,26356.375,0.0
101,8,3,7,13,1,4,1,1,44,23815.0,43443.0,2.0,2496.0,5184.0,2592.0,42114.5,10528.625,0.0
101,8,3,7,14,1,3,1,1,55,20151.0,20151.0,1.0,3360.0,3360.0,3360.0,27936.300000000003,9312.1,0.0
101,8,5,16,13,1,4,1,1,30,56755.0,77418.0,2.0,2304.0,3456.0,1728.0,110999.1,27749.775,0.0
101,8,5,16,14,1,5,1,1,34,34163.0,81274.0,2.0,2112.0,3408.0,1704.0,70640.6,14128.12,0.0
101,8,5,16,15,1,5,1,1,60,20151.0,44489.0,2.0,2496.0,4992.0,2496.0,59835.9,11967.18,0.0
101,8,7,18,14,1,4,1,1,50,34353.0,119338.0,4.0,2304.0,9408.0,2352.0,57922.5,14480.625,0.0
101,8,7,18,19,1,5,1,1,50,76682.0,106070.0,2.0,2112.0,4224.0,2112.0,71646.3,14329.26,0.0
101,8,7,18,20,1,4,1,1,56,16897.0,23601.0,2.0,2520.0,3240.0,1620.0,60370.4,15092.6,0.0
101,8,15,27,15,1,3,1,1,55,18367.0,18367.0,1.0,1872.0,1872.0,1872.0,35358.4,11786.133333333333,0.0
101,8,19,22,14,1,4,1,1,45,23877.0,46651.0,2.0,2112.0,4224.0,2112.0,57712.899999999994,14428.224999999999,0.0
