tinh,huyen,xa,diaban,hoso,m4b16ma,m4b16c2a,m4b16c2b,m4b16c2c,m4b16c2d,m4b16c2e
101,6,1.0,10,19,8.0,41.0,0.0,0.0,0.0,41.0
101,6,1.0,10,19,1.0,82.0,0.0,0.0,0.0,82.0
101,6,1.0,10,19,6.0,123.0,0.0,0.0,0.0,123.0
101,6,1.0,10,19,3.0,311.0,0.0,0.0,0.0,311.0
101,6,1.0,10,19,15.0,123.0,0.0,0.0,0.0,123.0
101,6,1.0,10,19,7.0,25.0,0.0,0.0,0.0,25.0
101,6,1.0,10,19,13.0,230.0,0.0,0.0,0.0,230.0
101,6,7.0,17,13,,,,,,
101,6,7.0,17,14,,,,,,
101,6,7.0,17,19,,,,,,
101,6,11.0,12,13,8.0,17.0,0.0,0.0,0.0,17.0
101,6,11.0,12,13,6.0,164.0,0.0,82.0,0.0,246.0
101,6,11.0,12,13,3.0,410.0,82.0,246.0,0.0,738.0
101,6,11.0,12,13,7.0,33.0,0.0,12.0,0.0,45.0
101,6,11.0,12,13,15.0,123.0,0.0,25.0,0.0,148.0
101,6,11.0,12,13,16.0,164.0,0.0,41.0,0.0,205.0
101,6,11.0,12,13,1.0,99.0,0.0,0.0,0.0,99.0
101,6,11.0,12,13,13.0,287.0,0.0,66.0,0.0,353.0
101,6,11.0,12,14,,,,,,
101,6,11.0,12,15,,,,,,
101,6,21.0,13,13,,,,,,
101,6,21.0,13,14,,,,,,
101,6,21.0,13,15,,,,,,
101,6,25.0,5,13,,,,,,
101,6,25.0,5,14,,,,,,
101,6,25.0,5,15,,,,,,
101,6,27.0,5,13,,,,,,
101,6,27.0,5,14,,,,,,
101,6,27.0,5,15,8.0,0.0,0.0,0.0,9.0,9.0
101,6,27.0,5,15,3.0,0.0,0.0,0.0,633.0,633.0
101,6,27.0,5,15,7.0,0.0,0.0,0.0,85.0,85.0
101,6,27.0,5,15,15.0,0.0,0.0,0.0,152.0,152.0
101,6,27.0,5,15,6.0,0.0,0.0,0.0,135.0,135.0
101,7,3.0,19,13,,,,,,
101,7,3.0,19,14,,,,,,
101,7,3.0,19,15,,,,,,
101,7,11.0,15,13,,,,,,
101,7,11.0,15,14,,,,,,
101,7,11.0,15,15,,,,,,
101,7,15.0,13,15,,,,,,
101,7,15.0,13,19,,,,,,
101,7,15.0,13,20,,,,,,
101,7,19.0,25,13,,,,,,
101,7,19.0,25,15,,,,,,
101,7,19.0,25,20,,,,,,
101,7,21.0,16,13,,,,,,
101,7,21.0,16,15,,,,,,
101,7,21.0,16,20,,,,,,
101,7,27.0,3,13,,,,,,
101,7,27.0,3,14,,,,,,
101,7,27.0,3,15,,,,,,
101,7,33.0,21,15,,,,,,
101,7,33.0,21,20,,,,,,
101,7,33.0,21,24,,,,,,
101,7,37.0,15,13,,,,,,
101,7,37.0,15,14,,,,,,
101,7,37.0,15,15,,,,,,
101,8,3.0,7,13,,,,,,
101,8,3.0,7,14,,,,,,
101,8,3.0,7,15,,,,,,
101,8,5.0,16,13,,,,,,
101,8,5.0,16,14,,,,,,
101,8,5.0,16,15,,,,,,
101,8,7.0,18,14,,,,,,
101,8,7.0,18,19,,,,,,
101,8,7.0,18,20,,,,,,
101,8,15.0,27,14,,,,,,
101,8,15.0,27,15,,,,,,
101,8,15.0,27,20,,,,,,
101,8,19.0,22,14,,,,,,
101,8,19.0,22,15,,,,,,
101,8,19.0,22,20,,,,,,
101,8,25.0,6,14,,,,,,
101,8,25.0,6,15,,,,,,
101,8,25.0,6,19,,,,,,
101,8,27.0,16,13,,,,,,
101,8,27.0,16,14,,,,,,
101,8,27.0,16,15,,,,,,
101,9,3.0,23,13,,,,,,
101,9,3.0,23,14,,,,,,
101,9,3.0,23,15,,,,,,
101,9,5.0,8,14,,,,,,
101,9,5.0,8,15,,,,,,
101,9,5.0,8,24,,,,,,
101,9,11.0,35,13,,,,,,
101,9,11.0,35,14,,,,,,
101,9,11.0,35,20,,,,,,
101,9,15.0,15,13,,,,,,
101,9,15.0,15,15,,,,,,
101,9,15.0,15,19,,,,,,
101,9,19.0,26,13,,,,,,
101,9,19.0,26,14,,,,,,
101,9,19.0,26,15,,,,,,
101,9,23.0,11,14,,,,,,
101,9,23.0,11,15,,,,,,
101,9,23.0,11,24,,,,,,
101,9,31.0,10,13,,,,,,
101,9,31.0,10,14,,,,,,
101,9,31.0,10,15,,,,,,
101,9,33.0,10,19,,,,,,
101,9,33.0,10,20,,,,,,
101,9,33.0,10,24,,,,,,
101,9,35.0,24,13,,,,,,
101,9,35.0,24,14,,,,,,
101,9,35.0,24,20,,,,,,
101,9,39.0,17,19,,,,,,
101,9,39.0,17,20,,,,,,
101,9,39.0,17,24,,,,,,
101,11,1.0,10,13,,,,,,
101,11,1.0,10,14,,,,,,
101,11,1.0,10,15,,,,,,
101,11,3.0,17,13,,,,,,
101,11,3.0,17,15,,,,,,
101,11,3.0,17,24,,,,,,
101,11,5.0,24,14,,,,,,
101,11,5.0,24,15,,,,,,
101,11,5.0,24,19,,,,,,
101,11,17.0,33,13,,,,,,
101,11,17.0,33,14,,,,,,
101,11,17.0,33,15,,,,,,
101,11,21.0,9,13,,,,,,
101,11,21.0,9,14,,,,,,
101,11,21.0,9,15,,,,,,
101,13,1.0,13,13,,,,,,
101,13,1.0,13,14,,,,,,
101,13,1.0,13,20,,,,,,
101,13,5.0,19,13,,,,,,
101,13,5.0,19,15,,,,,,
101,13,5.0,19,20,,,,,,
101,13,7.0,15,14,,,,,,
101,13,7.0,15,19,7.0,0.0,0.0,0.0,89.0,89.0
