tinh,huyen,xa,m3tt1,m3c6,m3c7,m3c8,m3c9,m3c10,m3c11,m3c12
101,17,37,2,34,5,2,1,2,-2,-2
101,17,37,3,27,3,1,2,2,150,35
101,17,37,4,36,3,1,2,2,115,78
101,17,37,5,26,1,1,1,2,38,12
101,17,39,1,26,1,1,1,1,150,40
101,17,39,2,28,1,1,1,1,120,30
101,17,39,3,29,1,1,1,1,85,15
101,19,17,1,14,3,1,1,1,6,4
101,19,17,2,14,3,1,1,1,6,3
101,19,17,3,14,3,1,1,1,6,4
101,19,55,1,12,3,1,2,1,36,13
101,19,55,2,12,3,1,2,1,12,6
101,19,55,3,12,3,1,2,1,10,6
101,19,55,4,12,3,1,2,1,8,5
101,21,13,1,51,4,4,1,1,-2,-2
101,21,13,2,51,4,4,1,1,-2,-2
101,21,13,3,51,4,4,1,1,-2,-2
101,21,13,4,50,4,5,1,1,-2,-2
101,21,13,5,50,4,3,1,1,3,2
101,21,23,1,37,3,1,2,1,-2,-2
101,23,23,1,15,4,1,1,1,15,12
101,23,23,2,25,4,2,1,1,10,2
101,23,23,3,25,4,3,1,1,20,13
101,23,47,1,25,4,3,1,1,10,8
103,11,05,1,26,1,5,1,2,-2,-2
103,11,05,2,26,1,1,1,1,-2,-2
103,11,05,3,26,4,3,1,1,-2,-2
103,11,05,4,26,2,4,1,1,-2,-2
103,11,05,5,26,4,5,1,1,-2,-2
103,11,07,1,23,2,5,1,1,-2,-2
103,11,07,2,26,5,4,1,2,-2,-2
103,11,14,1,26,4,5,1,1,200,160
103,11,14,2,26,4,5,1,1,40,-1
103,11,14,3,35,1,1,1,2,170,-1
103,11,14,4,19,5,4,1,2,-1,-1
103,11,14,5,26,4,5,1,1,50,40
103,11,21,1,35,1,9,1,2,-1,-1
103,11,21,2,26,1,9,1,2,-1,-1
103,11,21,3,35,1,1,1,2,-1,-1
103,11,21,4,19,5,9,1,2,-1,-1
103,11,21,5,45,4,3,1,1,-1,-1
103,11,27,1,18,1,5,1,1,370,290
103,11,27,2,28,1,1,1,1,30,5
103,11,27,3,41,2,5,1,1,16,6
103,11,27,4,18,5,4,1,1,380,360
103,11,27,5,28,4,2,2,2,120,0
103,11,35,1,19,5,4,1,2,250,185
103,11,35,2,24,4,2,2,2,-2,-2
103,11,35,3,35,1,3,1,2,145,35
103,11,35,4,15,4,4,1,1,-2,-2
103,11,43,1,36,2,5,1,1,16,0
103,11,43,2,28,4,4,1,1,5,0
103,11,43,3,55,4,4,1,1,3,-2
103,13,07,1,20,2,2,1,1,-2,-2
103,13,07,2,52,4,5,1,1,10,4
103,13,07,3,52,4,4,1,1,40,10
103,13,07,4,52,4,5,1,1,9,3
103,13,07,5,41,4,5,1,1,15,4
103,13,13,1,18,5,3,1,1,-2,-2
103,13,13,2,18,4,4,1,1,-2,-2
103,13,13,3,19,5,4,1,1,-2,-2
103,13,13,4,93,5,4,1,1,-2,-2
103,13,13,5,19,5,4,1,1,-2,-2
103,15,03,1,18,4,4,1,2,80,72
103,15,03,2,19,4,4,1,2,50,45
103,15,03,3,19,4,4,1,2,480,470
