tinh,huyen,xa,madt,ngaydt,thangdt,ngayct,thangct,m1c1,m1c2,m1c3,m1c4,m1c5,m1c6,m1c7,m1c8,m1c9,m1c10,m1c11a,m1c11b,m1c11c,m1c12a,m1c12b,m1c12c,m1c13,m1c14,m1c15,m2c1a,m2c1b,m2c1c,m2c2,m2c3a,m2c3b,m2c3c,m2c4,m2c5a,m2c5b,m2c5c,m2c6,m2c7a,m2c7b,m2c7c,m2c7d,m2c7e,m2c7f,m2c7g,m2c8,m3c1,m3c2,m3c2a1,m3c2a2,m3c2a3,m3c3,m3c4a,m3c4b,m3c4c,m3c4a1,m3c4a2,m3c4a3,m3c5,m4c1,m4c25a_1,m4c25a_2,m4c25a_3,m4c25a_4,m4c25b_1,m4c25b_2,m4c25b_3,m4c25b_4,m4c25c_1,m4c25c_2,m4c25c_3,m4c25c_4,m4c26,m4c27,m4c28a,m4c28b,m4c28c,m4c29,m4c30,m4c31,m4c32a,m4c32b,m4c32c,m4c33,m4c34,m4c35,m4c36a,m4c36b,m4c36c,m4c37a,m4c37b,m4c37c,m5c1,m5c2,m5c3,m5c4,m5c5,m5c6,m5c7,m5c8,m5c9,m5c10,m5c11,m5c12,m5c13a,m5c13b,m5c14,m5c15a,m5c15b,m5c15c,m5c16,m5c17,m5c18,m5c19,m5c20,m5c21,m5c22,m5c23a,m5c23b,m6c1,m6c2,m6c3,m6c4,m6c5,m6c6,m6c7,m6c16,m6c17,m6c18,m6c19,m6c20,m6c21,m6c22,m6c23,m6c24a,m6c24b,m6c24c,m6c25,m6c26,m6c27,m6c28,m6c29a,m6c29b,m6c29c,m6c30,m7c1a,m7c1b,m7c1c,m7c2,m7c3a,m7c3b,m7c3c,m7c4a,m7c4b,m7c4c,m7c5,m8c1a,m8c1b,m8c1c,m8c2,m8c3,m8c4,m8c5,m8c6,m8c7,m8c8,m9c1a,m9c1b,m9c1c,m9c1d,m9c1e,m9c2,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m8c9,m8c10a1,m8c10a2,m8c10a3,m8c10b1,m8c10b2,m8c10b3,m8c10c1,m8c10c2,m8c10c3,m8c11a,m8c11b,m8c11c,m8c12,m8c13,m8c14,m8c15a,m8c15b,m8c15c,m8c15d,m8c15e
101,17,35,24,18,9,18,9,10.7,9,3989,39,42,16885,58,115,56,54,1,0,,8,1,0.0,2,2,2,1,5,7.0,1,2.0,7.0,4.0,2,,,,293,52,168,52,0,0,0,0,2,1,5.0,1.0,5.0,0.0,2.0,,,,,,,1.0,2,90,90,80,90,90,90,80,90,-3,60,30,60,2,12.0,,,,,,,,,,8,1,1,4,2.0,3.0,2,3.0,5.0,1,12.0,1.0,1,,12,1,2,,,2,15.0,4,2.0,1,1.0,2.0,0.0,1,1.0,1,2,1,1,2,4,4,1,1,2,2,2,2,2,1,1998.0,2.0,,,1,1.0,35.0,100.0,50.0,60.0,1.0,1,1.0,-1.0,150.0,50.0,70.0,1.0,8,6.0,5.0,1,6.0,7.0,5.0,1.0,4.0,5.0,2,8,3.0,6.0,12,0,1,0,0,0,849,3,1.0,8.0,0.0,,1,1,1.0,2.0,1.0,1.0,1.0,2.0,0,,,,,,,,,,,,,1,9.0,9,9.0,0.0,0.0,0.0,0.0
101,17,37,24,18,9,18,9,8.3,6,3736,53,3,14578,523,18,75,125,1,0,,8,1,0.0,2,2,2,4,1,9.0,1,2.0,4.0,8.0,1,1.0,2.0,3.0,115,35,15,10,0,0,0,0,3,1,-2.0,1.0,2.0,4.0,2.0,,,,,,,1.0,2,90,90,90,90,90,90,90,90,-3,-3,-3,-3,2,5.0,,,,,,,,,,6,1,1,4,2.0,3.0,4,5.0,10.0,1,12.0,2.0,1,,12,1,2,,,2,2.0,4,3.0,1,1.0,2.0,0.0,1,1.0,1,1,1,1,1,4,4,1,1,2,2,2,2,2,1,1998.0,2.0,,,1,1.0,45.0,100.0,50.0,-1.0,1.0,1,1.0,125.0,160.0,50.0,10.0,1.0,5,9.0,16.0,1,4.0,5.0,6.0,1.0,4.0,5.0,2,8,3.0,7.0,27,0,0,0,0,0,199,8,1.0,4.0,5.0,2.0,1,1,1.0,2.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,,,,1,6.0,4,3.0,0.0,0.0,3.0,0.0
101,17,39,24,20,9,27,9,5.8,8,2773,46,6,11058,175,53,49,379,1,0,,8,1,0.0,2,2,2,1,4,7.0,1,1.0,4.0,2.0,2,,,,99,125,116,28,0,0,0,0,2,1,15.0,5.0,4.0,2.0,2.0,,,,,,,1.0,1,90,80,40,70,90,80,40,70,-3,-3,-3,-3,2,10.0,,,,,,,,,,3,1,1,2,3.0,4.0,4,7.0,0.0,1,12.0,2.0,1,,12,2,2,,,1,,10,2.0,1,2.0,1.0,0.0,1,1.0,1,2,1,2,1,4,4,1,1,2,2,2,2,2,1,1998.0,2.0,,,1,1.0,43.0,120.0,50.0,60.0,1.0,1,1.0,140.0,160.0,50.0,80.0,1.0,7,5.0,16.0,2,,,,3.0,1.0,5.0,2,8,3.0,7.0,28,0,6,0,0,0,170,8,6.0,1.0,4.0,2.0,1,1,1.0,2.0,1.0,1.0,1.0,2.0,0,,,,,,,,,,,,,1,7.0,7,7.0,0.0,0.0,0.0,0.0
101,19,17,13,15,7,10,7,4.88,9,3183,23,3,14422,262,10,10,6,1,0,,1,0,,2,2,2,7,4,1.0,1,2.0,1.0,4.0,2,,,,12,153,0,0,0,0,0,0,0,1,1208.0,1.0,0.0,,1.0,14.0,0.0,,1.0,0.0,,1.0,2,50,-3,30,50,-3,50,30,50,-3,-3,-3,-3,2,8.0,,,,,,,,,,3,1,1,2,3.0,4.0,2,6.0,10.0,1,12.0,1.0,1,,12,1,2,,,2,-1.0,-1,,2,,,,1,1.0,1,1,1,1,1,4,4,1,1,1,2,2,2,2,2,,,,,2,,,,,,,1,2.0,,,,,,5,7.0,0.0,1,4.0,5.0,7.0,3.0,1.0,0.0,2,3,1.0,0.0,16,0,3,0,0,0,163,8,4.0,5.0,0.0,,1,1,2.0,2.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,,,,1,9.0,0,,,,,
101,19,55,13,19,7,18,7,5.6,9,2378,34,0,9491,624,4,103,87,1,2,8.0,1,2,0.0,2,2,2,1,4,9.0,1,2.0,7.0,4.0,1,1.0,2.0,3.0,64,16,18,0,0,0,0,0,0,1,4.0,1.0,2.0,0.0,1.0,12.0,13.0,0.0,1.0,2.0,0.0,1.0,2,40,60,30,80,40,60,30,80,-3,-3,-3,-3,1,,1.0,4.0,0.0,12.0,80.0,2.0,,,,4,1,1,2,3.0,5.0,2,6.0,0.0,1,12.0,1.0,1,,12,1,2,,,1,,6,3.0,1,1.0,2.0,0.0,1,1.0,1,2,1,1,1,4,4,1,1,2,2,2,2,2,2,,,,,2,,,,,,,1,2.0,,,,,,5,0.0,,1,4.0,5.0,7.0,3.0,1.0,4.0,2,5,3.0,0.0,21,0,4,0,0,0,285,4,8.0,5.0,0.0,,1,1,2.0,2.0,1.0,1.0,1.0,1.0,3,2.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1,6.0,0,,,,,
101,21,13,8,7,7,8,10,5.98,4,1972,73,0,8340,263,7,18,90,1,0,,1,0,,2,2,2,1,7,9.0,1,1.0,2.0,0.0,1,1.0,2.0,0.0,74,0,30,280,450,300,2,0,2,1,-2.0,9.0,,,1.0,10.0,0.0,,2.0,0.0,,1.0,2,50,50,40,50,50,50,40,50,40,40,40,40,2,7.0,,,,,,,,,,6,2,1,2,3.0,4.0,1,4.0,2.0,1,12.0,1.0,1,,12,1,2,,,2,2.0,24,3.0,1,2.0,0.0,,1,1.0,1,2,1,1,1,4,4,1,1,2,2,2,2,2,2,,,,,1,1.0,11.0,130.0,100.0,200.0,1.0,1,1.0,75.0,130.0,100.0,200.0,1.0,17,0.0,,1,1.0,7.0,0.0,1.0,2.0,0.0,2,3,0.0,,26,0,3,1,0,0,126,6,8.0,1.0,0.0,,1,1,1.0,2.0,1.0,1.0,1.0,1.0,1,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1,4.0,0,,,,,
101,21,23,8,30,7,30,7,2.75,2,2361,1374,40,10833,9016,170,170,350,1,2,0.0,8,2,3.0,2,2,2,7,9,1.0,1,2.0,4.0,7.0,1,1.0,3.0,6.0,41,0,20,60,0,0,250,0,0,1,-2.0,1.0,2.0,0.0,1.0,5.0,0.0,,1.0,2.0,0.0,1.0,2,90,70,50,90,-3,70,50,90,-3,-3,-3,-3,2,5.0,,,,,,,,,,0,1,1,4,0.0,,6,8.0,11.0,1,12.0,1.0,1,,12,1,2,,,1,,4,2.0,1,2.0,0.0,,1,1.0,1,2,1,1,1,3,3,1,1,1,2,2,2,2,2,,,,,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,6,5.0,9.0,1,6.0,7.0,0.0,1.0,0.0,,2,1,2.0,0.0,78,0,16,3,56,0,178,-1,,,,,1,1,1.0,1.0,1.0,1.0,1.0,2.0,2,,,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,2.0,2,0.0,0.0,1.0,0.0,0.0
101,23,23,15,30,7,30,7,4.1,7,2714,300,0,9935,1977,900,155,300,1,0,,8,1,2.0,2,2,2,1,2,9.0,1,2.0,1.0,3.0,1,3.0,0.0,,24,10,35,0,0,0,0,0,5,1,3.0,1.0,2.0,0.0,2.0,,,,,,,1.0,2,80,-3,-3,-3,-3,50,50,50,-3,-3,-3,-3,2,1.0,,,,,,,,,,3,1,1,4,5.0,3.0,1,3.0,10.0,1,12.0,1.0,1,,12,1,2,,,2,0.5,4,2.0,2,,,,1,1.0,2,1,1,2,2,3,3,1,1,2,2,2,2,2,2,,,,,1,1.0,15.0,100.0,0.0,0.0,1.0,1,2.0,,,,,,7,9.0,0.0,1,7.0,4.0,5.0,4.0,1.0,6.0,1,1,2.0,3.0,-1,-1,0,0,0,0,0,8,1.0,10.0,2.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5.0,7,0.0,0.0,0.0,7.0,0.0
101,23,47,15,26,6,26,6,2.92,5,1963,54,0,8572,530,50,43,174,1,2,0.0,8,1,0.0,2,2,2,1,9,7.0,1,1.0,2.0,12.0,1,2.0,7.0,0.0,93,20,16,25,0,0,0,40,0,1,-2.0,1.0,2.0,3.0,2.0,,,,,,,1.0,3,75,-3,-3,-3,-3,65,35,50,-3,-3,-3,-3,2,6.0,,,,,,,,,,4,1,1,2,4.0,3.0,5,8.0,10.0,1,12.0,1.0,1,,12,1,2,,,2,2.0,4,2.0,1,2.0,0.0,,1,1.0,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,,,,,1,1.0,20.0,220.0,0.0,0.0,1.0,1,1.0,170.0,130.0,30.0,30.0,1.0,8,0.0,,2,,,,1.0,3.0,2.0,3,1,3.0,0.0,36,0,7,0,0,0,12,13,0.0,,,,1,1,1.0,1.0,1.0,1.0,2.0,3.0,3,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,3.0,2.0,0.0,1,5.0,5,0.0,0.0,0.0,5.0,0.0
103,11,05,59,30,6,28,6,10.25,11,2350,39,12,9873,157,92,55,88,1,0,,1,8,0.0,4,2,2,1,4,8.0,1,2.0,3.0,4.0,1,3.0,0.0,,148,220,52,60,0,600,10,0,1,1,2.0,2.0,3.0,0.0,2.0,,,,,,,1.0,2,60,-1,-1,-1,-1,60,-1,70,-1,-1,-1,-1,2,15.0,,,,,,,,,,2,1,1,3,5.0,4.0,1,3.0,8.0,1,12.0,2.0,1,,12,2,2,,,1,,8,3.0,1,2.0,1.0,0.0,1,1.0,1,1,1,1,2,9,9,1,1,2,2,2,2,2,1,2005.0,2.0,,,1,2.0,,,,,,1,2.0,,,,,,5,4.0,7.0,1,4.0,5.0,6.0,4.0,1.0,2.0,2,3,6.0,8.0,10,0,0,0,0,0,0,4,2.0,1.0,8.0,5.0,1,1,1.0,11.0,1.0,1.0,1.0,2.0,2,,,,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,,0,,,,,
