tinh,huyen,xa,diaban,hoso,m5b4c2_1,m5b4c2_2,m5b4c2_3,m5b4c2_4,m5b4c2_5,m5b4c2_6,m5b4c2_7,m5b4c2_8
101,6,11.0,12,15,0,0,0,0,0,0,0,0
101,6,21.0,13,13,0,0,0,0,0,0,0,0
101,6,21.0,13,14,0,2400,0,0,0,0,0,0
101,6,21.0,13,15,0,0,0,0,0,0,0,0
101,6,25.0,5,13,0,0,0,0,0,0,0,0
101,6,25.0,5,14,0,0,0,0,0,0,0,0
101,6,25.0,5,15,0,0,0,0,0,0,0,0
101,6,27.0,5,13,0,0,0,0,0,0,0,0
101,6,27.0,5,14,0,0,0,0,0,0,0,0
101,6,27.0,5,15,0,0,0,0,0,0,0,0
101,7,3.0,19,13,0,0,0,0,0,0,0,0
101,7,3.0,19,14,0,0,0,0,0,0,0,0
101,7,3.0,19,15,0,0,0,0,0,0,0,0
101,7,11.0,15,13,0,0,0,5000,0,0,0,0
101,7,11.0,15,14,0,0,0,0,0,0,0,0
101,7,11.0,15,15,0,0,0,0,0,0,0,0
101,7,15.0,13,15,0,0,0,0,0,0,0,0
101,7,15.0,13,19,0,0,0,0,0,0,0,0
101,7,15.0,13,20,0,0,0,0,0,0,0,0
101,7,19.0,25,13,0,0,0,0,0,0,0,0
101,7,19.0,25,15,0,0,0,0,0,0,0,0
101,7,19.0,25,20,0,0,0,0,0,0,0,0
101,7,21.0,16,13,0,0,0,0,0,0,0,0
101,7,21.0,16,15,0,0,0,0,0,0,0,0
101,7,21.0,16,20,0,0,0,0,0,0,0,0
101,7,27.0,3,13,0,0,0,0,0,0,0,0
101,7,27.0,3,14,0,0,0,0,0,0,0,0
101,7,27.0,3,15,0,0,0,0,0,0,0,0
101,7,33.0,21,15,0,0,0,0,0,0,0,0
101,7,33.0,21,20,0,0,0,0,0,0,0,0
101,7,33.0,21,24,0,0,0,0,0,0,0,0
101,7,37.0,15,13,0,0,0,0,0,0,0,0
101,7,37.0,15,14,0,0,0,0,0,0,0,0
101,7,37.0,15,15,0,0,0,0,0,0,0,0
101,8,3.0,7,13,0,0,0,0,0,0,0,0
