tinh,huyen,xa,diaban,hoso,m3c6,m3c16,m3c17,m3c18,m3c19,m3ct1,m3ct2,m3ct,m4atn1,m4atn2,m4atn3,m4atn4,m4atn5,m4atn,m4b0c1,m4b0t1,m4b0t2,m4b1a,m4b1b,m4b11t,m4b12t,m4b13t,m4b14t,m4b15t,m4b16c3a,m4b16c3b,m4b16c3c,m4b1t,m4b1c,m4b1tn,m4b21a,m4b21b,m4b21t
101,6,21.0,13,14,1,7200,120,0,2772,2000,4500,13820.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,21.0,13,15,2,50,10,200,0,0,0,260.0,39672,4317,0,0,0,43989.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,25.0,5,13,2,500,50,120,0,0,0,670.0,22040,4243,0,0,0,26283.0,1,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,1,,133614.0
101,6,25.0,5,14,2,500,50,0,0,0,0,550.0,27217,3508,3140,175,0,34040.0,1,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,1,,72526.0
101,6,25.0,5,15,2,200,0,100,0,0,0,300.0,20936,872,0,0,0,21808.0,1,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,27.0,5,13,2,1500,0,0,0,0,0,1500.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,27.0,5,14,2,500,0,80,0,0,0,580.0,12561,1308,10468,436,0,24773.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,6,27.0,5,15,2,700,0,60,0,0,0,760.0,15702,436,0,0,0,16138.0,1,0.0,0.0,1,,0.0,0,0,10120,0,2.0,0.0,,10120.0,1014.0,9106.0,2,2.0,0.0
101,7,3.0,19,13,2,300,0,0,0,0,0,300.0,101642,11293,0,0,0,112935.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,3.0,19,14,2,150,50,100,0,0,0,300.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,3.0,19,15,2,650,210,310,0,0,0,1170.0,134580,20704,0,0,0,155284.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,11.0,15,13,1,4000,500,0,5398,12000,0,16500.0,208930,14215,0,0,0,223145.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,11.0,15,14,2,100,50,200,0,0,0,350.0,17795,2268,0,0,0,20063.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,11.0,15,15,1,4400,300,25,1610,0,3800,8525.0,146816,12048,0,0,0,158864.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,7,15.0,13,15,2,300,500,240,0,0,0,1040.0,23029,4798,0,0,0,27827.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
