tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
501,1,13,10,14,1,2,2,1,1,,51,47,12,15,9,6,2,,,,,,,,0,1,83,49,12,10,3,6,2,,,,,,,0,2,,,1,2
501,1,13,10,14,2,2,2,1,1,,51,47,12,28,10,6,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
501,1,13,10,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,13,10,15,1,1,2,2,1,,0,84,12,26,8,10,4,1,27362,475,0,0,0,3420,3895,2,,,,,,,,,,,,,,0,,,,1,1
501,1,13,10,15,2,1,2,2,1,,24,65,12,22,8,7,4,1,28502,1045,0,0,0,285,1330,2,,,,,,,,,,,,,,0,,,,1,3
501,1,13,10,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,13,10,19,1,1,2,2,1,,19,41,12,20,9,4,6,,115440,2886,0,0,0,0,2886,2,,,,,,,,,,,,,,0,,,,1,1
501,1,13,10,19,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
501,1,13,10,19,3,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,15,17,13,1,2,2,1,1,,91,56,11,30,7,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,13,2,2,2,1,1,,91,56,12,30,7,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
501,1,15,17,13,3,2,2,1,1,,91,56,12,30,6,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
501,1,15,17,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
501,1,15,17,13,5,2,2,1,1,,91,56,12,30,7,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,13,6,2,2,1,1,,91,56,4,30,5,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
501,1,15,17,14,1,1,2,2,1,,93,96,12,20,7,3,3,,6857,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
501,1,15,17,14,2,2,2,1,1,,93,45,12,17,4,3,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,14,3,1,2,2,1,,41,85,12,26,8,1,4,2,8439,88,0,0,0,0,88,2,,,,,,,,,,,,,,0,,,,1,1
501,1,15,17,14,5,1,2,2,1,,91,45,12,30,9,2,3,,2742,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,2,
