tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
101,6,11.0,12,15,1.0,l¸i xe n©ng hµng,kim khÝ Thang long,S¶n xuÊt ®å kim khÝ,,,
101,6,11.0,12,15,2.0,Röa b¸t thuª,t­ nh©n,nhµ hµng ®Æc s¶n,,,
101,6,21.0,13,13,3.0,kü thuËt vi tÝnh,cty truyÒn th«ng gp vn,qu¶ng c¸o,,,
101,6,21.0,13,13,2.0,b¶o vÖ,cty ®iÒu hµnh v­ên ­¬m,­¬m gièng,,,
101,6,21.0,13,14,,,,,,,
101,6,21.0,13,15,2.0,b¸n b¸nh kÑo,hé kh¸c,b¸n b¸nh kÑo,,,
101,6,21.0,13,15,1.0,may kü thuËt,cty may 10,may quÇn ¸o,,,
101,6,25.0,5,13,2.0,May,Cty may 10,QuÇn ¸o,,,
101,6,25.0,5,13,1.0,NÊu r­îu,tù lµm,r­îu,Nu«i lîn,Tù lµm,lîn
101,6,25.0,5,14,2.0,Ql mÇm non,MÇm non cù khèi,HiÖu tr­ëng,ch¨n nu«i,tù lµm,nu«i lîn
101,6,25.0,5,14,3.0,Ch¨n nu«i,Tù lµm,Nu«i lîn,,,
101,6,25.0,5,14,4.0,GV mÇm non,tr­êng mÇm non cù khèi,Tr«ng trÎ,Ch¨n nu«i,Tù lµm,Nu«i lîn
101,6,25.0,5,14,1.0,ch¨n nu«i,tù lµm,nu«i lîn,Qu¶n lý,UBND ph­êng Th¹ch Bµn,Tæ tr­ëng d©n phè
101,6,25.0,5,15,1.0,B¸n hµng,C¸ thÓ,B¸n thùc phÈm,,,
101,6,27.0,5,13,,,,,,,
101,6,27.0,5,14,2.0,B¸n hµng,Tù lµm,¨n uèng,,,
101,6,27.0,5,14,1.0,B¸n hµng,Tù lµm,¨n uèng,,,
101,6,27.0,5,14,3.0,Gi¸o viªn,Tr­êng THPT Nguyªn V Cù,Gi¸o dôc,D¹y häc,C¸ thÓ,Gi¸o dôc
101,6,27.0,5,15,2.0,B¸n hµng ¨n,Tù lµm,X«i,SX n«ng nghiÖp,Tù lµm,C©y ¨n qu¶
101,6,27.0,5,15,1.0,SX n­íc uèng,CT TNHH cong nghÖ cao,N­íc tinh khiÕt,SX n«ng nghiÖp,Tù lµm,C©y ¨n qu¶
101,7,3.0,19,13,3.0,ThÈm ®Þnh kiÓm tra,C«ng ty vinacontrol,Gi¸m ®Þnh ph©n tÝch,,,
