tinh,huyen,xa,diaban,hoso,m4c1ma1,m4c1c2,m4c1c3,m4c1c4,m4c1c5,m4c1c6,m4c1c7,m4c1c8,m4c1c9a,m4c1c9b,m4c1c9c,m4c1c10,m4c1c11,m4c1c12,m4c1c13,m4c1c14,m4c1c15,m4c1c16,m4c1c17,m4c1c18,m4c1c19,m4c1c20,m4c1c21,m4c1c22,m4c1c23,m4c1c24,m4c1c25,m4c1c25a
101,1,17.0,2,19,1.0,56.0,1.0,12.0,28.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,1.0,6989.0,83868.0,2.0,,1.0,3310.0,2.0,,87178.0,87178.0
101,1,21.0,36,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,21.0,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,21.0,36,19,1.0,63.0,1.0,9.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2003.0,2.0,1.0,6281.0,56529.0,2.0,,2.0,,2.0,,56529.0,56529.0
101,1,21.0,36,19,3.0,47.0,3.0,7.0,28.0,2.0,3.0,40.0,5.0,0.0,,6.0,1.0,3.0,0.0,2008.0,2.0,,18844.0,131908.0,,,,,2.0,,131908.0,52763.19921875
101,1,21.0,36,19,2.0,85.0,2.0,12.0,22.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1988.0,3.0,1.0,3141.0,37692.0,2.0,,2.0,,2.0,,37692.0,37692.0
101,1,23.0,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,23.0,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,23.0,18,29,1.0,47.0,1.0,12.0,29.0,1.0,,100.0,5.0,0.0,,2.0,2.0,0.0,0.0,2004.0,2.0,,13335.0,160020.0,,,,,2.0,,160020.0,160020.0
101,3,3.0,23,13,1.0,56.0,1.0,12.0,28.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,2006.0,3.0,1.0,8950.0,107400.0,2.0,,1.0,427.0,2.0,,107827.0,107827.0
101,3,3.0,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,3.0,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,11.0,9,15,1.0,47.0,2.0,12.0,28.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,1998.0,2.0,,7725.0,92700.0,,,,,1.0,2299.0,94999.0,94999.0
101,3,11.0,9,15,2.0,49.0,3.0,12.0,20.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,0.0,2005.0,3.0,1.0,13794.0,165528.0,2.0,,1.0,2759.0,2.0,,168287.0,168287.0
101,3,11.0,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,11.0,9,20,1.0,49.0,1.0,12.0,29.0,1.0,,100.0,6.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,1.0,1082.0,12984.0,2.0,,2.0,,2.0,,12984.0,12984.0
101,3,13.0,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,13.0,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,13.0,8,15,1.0,47.0,2.0,12.0,28.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,,1009.0,12108.0,,,,,1.0,144.0,12252.0,12252.0
101,5,3.0,17,13,2.0,49.0,2.0,12.0,15.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2004.0,3.0,1.0,852.0,10224.0,2.0,,2.0,,2.0,,10224.0,10224.0
101,5,3.0,17,13,1.0,96.0,2.0,12.0,26.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2003.0,3.0,1.0,1081.0,12972.0,2.0,,2.0,,2.0,,12972.0,12972.0
101,5,3.0,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,3.0,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,11.0,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,11.0,7,14,1.0,62.0,3.0,12.0,30.0,1.0,,100.0,1.0,0.0,,1.0,1.0,0.0,0.0,2000.0,2.0,1.0,21985.0,263820.0,2.0,,2.0,,2.0,,263820.0,263820.0
101,5,11.0,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5,17.0,18,13,1.0,49.0,1.0,12.0,30.0,1.0,,100.0,4.0,0.0,,1.0,1.0,0.0,0.0,1998.0,3.0,1.0,2692.0,32304.0,2.0,,2.0,,2.0,,32304.0,32304.0
