tinh,huyen,xa,diaban,hoso,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1ct,m5b1c6,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
101,7,3.0,19,15,5150.0996,4180.8,969.3,33866.5,33866.5,0.0,19332.0,19332.0,0.0,12065.0,11565.0,500.0,6700.0,0.0
101,7,11.0,15,13,3328.3,2788.8,539.5,65325.1,65325.1,0.0,24864.0,24864.0,0.0,28550.0,28550.0,0.0,6150.0,5000.0
101,7,11.0,15,14,1139.6,1139.6,0.0,23734.4,23734.4,0.0,8016.0,8016.0,0.0,4740.0,4740.0,0.0,1050.0,0.0
101,7,11.0,15,15,2259.8,2259.8,0.0,63569.9,63569.9,0.0,14604.0,14604.0,0.0,22390.0,22390.0,0.0,1570.0,0.0
101,7,15.0,13,15,3178.6,3178.6,0.0,23869.7,23869.7,0.0,5750.0,5750.0,0.0,4490.0,4490.0,0.0,3000.0,0.0
101,7,15.0,13,19,3294.2,2816.7,477.5,42635.7,42635.7,0.0,15540.0,15540.0,0.0,24330.0,24330.0,0.0,7750.0,0.0
101,7,15.0,13,20,2316.5,2316.5,0.0,13020.0,13020.0,0.0,3192.0,3192.0,0.0,2270.0,2270.0,0.0,3500.0,0.0
101,7,19.0,25,13,2359.7,2359.7,0.0,30011.7,30011.7,0.0,13222.0,13222.0,0.0,18026.0,18026.0,0.0,2860.0,0.0
101,7,19.0,25,15,2371.8,2117.8,254.0,21302.7,21302.7,0.0,7548.0,7548.0,0.0,7369.0,7369.0,0.0,2900.0,0.0
101,7,19.0,25,20,4359.3,4359.3,0.0,52663.598,52663.598,0.0,19144.0,16264.0,2880.0,52986.0,52986.0,0.0,10200.0,0.0
101,7,21.0,16,13,3348.9,2871.4,477.5,31099.6,30899.0,200.6,7818.0,7818.0,0.0,5960.0,5610.0,350.0,1200.0,0.0
101,7,21.0,16,15,2775.4,2775.4,0.0,41668.0,41668.0,0.0,11398.0,11398.0,0.0,10980.0,10980.0,0.0,100.0,0.0
101,7,21.0,16,20,3003.8,3003.8,0.0,36732.4,36732.4,0.0,9716.0,9716.0,0.0,8960.0,8960.0,0.0,1650.0,0.0
101,7,27.0,3,13,2839.9001,2505.6,334.3,25605.5,25199.6,405.9,10022.0,10022.0,0.0,4929.0,4501.0,428.0,3720.0,0.0
101,7,27.0,3,14,1996.7,1586.0,410.7,15062.9,14141.2,921.7,3276.0,3276.0,0.0,2600.0,2400.0,200.0,2180.0,0.0
101,7,27.0,3,15,2307.5,1869.1,438.4,25014.0,24436.1,577.9,11096.0,11056.0,40.0,8530.0,8330.0,200.0,3575.0,0.0
101,7,33.0,21,15,4430.4,4430.4,0.0,29940.9,29940.9,0.0,21850.0,21850.0,0.0,24205.0,24205.0,0.0,184020.0,0.0
101,7,33.0,21,20,5912.3,5654.4,257.9,45605.2,45605.2,0.0,32398.0,32398.0,0.0,31730.0,31730.0,0.0,12850.0,0.0
101,7,33.0,21,24,1350.7,1350.7,0.0,20497.3,20497.3,0.0,11401.0,11401.0,0.0,15071.0,15071.0,0.0,6450.0,0.0
101,7,37.0,15,13,2886.7,2886.7,0.0,25913.8,25913.8,0.0,11659.0,11659.0,0.0,18080.0,18080.0,0.0,36700.0,0.0
101,7,37.0,15,14,1681.9,1681.9,0.0,13314.2,13314.2,0.0,2234.0,2234.0,0.0,4437.0,4437.0,0.0,5400.0,0.0
101,7,37.0,15,15,2591.0,2591.0,0.0,23438.1,23438.1,0.0,7570.0,7570.0,0.0,6539.0,6539.0,0.0,4080.0,0.0
101,8,3.0,7,13,1857.5,1451.5,406.0,23430.0,23430.0,0.0,8025.0,8025.0,0.0,4173.0,4173.0,0.0,1475.0,0.0
101,8,3.0,7,14,1529.6,1070.0,459.6,12702.7,12702.7,0.0,6932.0,6932.0,0.0,2569.0,2344.0,225.0,1810.0,0.0
101,8,3.0,7,15,2752.0,2301.5,450.5,18974.8,18963.9,10.9,11743.0,11743.0,0.0,3884.0,3509.0,375.0,2005.0,0.0
101,8,5.0,16,13,3913.0,3913.0,0.0,46884.1,46884.1,0.0,19548.0,19548.0,0.0,21040.0,21040.0,0.0,9860.0,0.0
101,8,5.0,16,14,2504.7,1965.1,539.6,32815.9,32815.9,0.0,13677.0,13127.0,550.0,11815.0,11445.0,370.0,3720.0,0.0
101,8,5.0,16,15,2958.3,2360.5,597.8,35407.6,35407.6,0.0,6765.0,6485.0,280.0,7660.0,7060.0,600.0,3500.0,0.0
101,8,7.0,18,14,3205.8,2728.3,477.5,23891.7,23891.7,0.0,15032.0,15032.0,0.0,6827.0,6827.0,0.0,2690.0,0.0
101,8,7.0,18,19,3039.4,2504.5999,534.8,34148.9,34148.9,0.0,16662.0,16662.0,0.0,9266.0,9266.0,0.0,1750.0,14000.0
101,8,7.0,18,20,1972.5,1542.7,429.8,16499.9,16499.9,0.0,3943.0,3943.0,0.0,2017.0,2017.0,0.0,33840.0,0.0
101,8,15.0,27,14,1708.4,1708.4,0.0,28423.4,28423.4,0.0,11135.0,11135.0,0.0,10400.0,10400.0,0.0,10400.0,0.0
101,8,15.0,27,15,1453.0,1453.0,0.0,16103.399,16103.399,0.0,3642.0,3642.0,0.0,4130.0,4130.0,0.0,7050.0,0.0
101,8,15.0,27,20,1133.7,1133.7,0.0,13956.5,13956.5,0.0,2582.0,2582.0,0.0,2060.0,2060.0,0.0,1450.0,0.0
101,8,19.0,22,14,3368.5,3320.7,47.8,29972.4,29972.4,0.0,11282.0,11282.0,0.0,5026.0,5026.0,0.0,4460.0,0.0
101,8,19.0,22,15,3227.3,3189.1,38.2,26976.4,26976.4,0.0,8348.0,8348.0,0.0,3162.0,3162.0,0.0,5050.0,0.0
101,8,19.0,22,20,2895.2,2847.5,47.7,24363.3,24363.3,0.0,7303.0,7303.0,0.0,4626.0,4626.0,0.0,6255.0,0.0
101,8,25.0,6,14,658.2,658.2,0.0,13351.4,13351.4,0.0,4626.0,4626.0,0.0,4390.0,4390.0,0.0,1250.0,0.0
101,8,25.0,6,15,1294.0,1294.0,0.0,23451.8,23451.8,0.0,7753.0,7753.0,0.0,9535.0,9535.0,0.0,2550.0,0.0
101,8,25.0,6,19,493.30002,493.30002,0.0,17613.6,17613.6,0.0,4012.0,4012.0,0.0,3230.0,3230.0,0.0,1050.0,0.0
101,8,27.0,16,13,5636.1,3582.7,2053.4001,54910.0,54575.7,334.3,14725.0,14725.0,0.0,9794.0,9544.0,250.0,2570.0,0.0
