tinh,huyen,xa,diaban,hoso,tongthu_01,tongthu_02,tongthu_03,tongthu_04,tongthu_05,tongthu_06,tongthu_07,tongthu_08,tongthu_09,tongthu_10,tongthu_11,tongthu_12,tongthu_13,tongthu_14,tongthu_15,m6ac8,m6ac9,m6bc7,m8c7
101,7,15.0,13,20,35229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35229.0,0.0,0.0,0,0,0,2
101,7,19.0,25,13,92338.0,139.0,4251.0,63183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24765.0,0.0,0.0,0,0,0,2
101,7,19.0,25,15,57921.0,46.0,1663.0,25071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31141.0,0.0,0.0,0,0,0,2
101,7,19.0,25,20,377439.0,0.0,2033.0,44265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257112.0,26429.0,47600.0,0.0,0,0,0,1
101,7,21.0,16,13,75502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65502.0,10000.0,0.0,0,0,21800,1
101,7,21.0,16,15,145393.0,0.0,462.0,79015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35976.0,29940.0,0.0,0.0,0,0,0,2
101,7,21.0,16,20,61824.0,0.0,0.0,28119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19382.0,14323.0,0.0,0.0,0,0,0,2
101,7,27.0,3,13,66226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64032.0,2194.0,0.0,0.0,0,0,0,2
101,7,27.0,3,14,30862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30862.0,0.0,0.0,0,0,1500,2
101,7,27.0,3,15,56811.0,0.0,0.0,53300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511.0,0.0,0.0,0,0,0,2
101,7,33.0,21,15,474036.0,170.0,0.0,106820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17046.0,350000.0,0.0,0,0,15000,1
