tinh,huyen,xa,diaban,hoso,m8c1a,m8c1b,m8c1c,m8c1d,m8c2a,m8c2b,m8c2c,m8c2d,m8c3a_1,m8c3b_1,m8c3a_2,m8c3b_2,m8c3a_3,m8c3b_3,m8c3a_4,m8c3b_4,m8c3a_5,m8c3b_5,m8c3a_6,m8c3b_6,m8c3a_7,m8c3b_7,m8c3a_8,m8c3b_8,m8c4a_1,m8c4b_1,m8c4a_2,m8c4b_2,m8c4a_3,m8c4b_3,m8c5,m8c6a,m8c6b,m8c6c
101,6,25.0,5,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,6,25.0,5,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,6,25.0,5,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,6,27.0,5,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,6,27.0,5,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,27.0,5,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,7,3.0,19,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,3.0,19,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,3.0,19,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,11.0,15,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,11.0,15,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,11.0,15,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,15.0,13,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,15.0,13,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,2.0,1.0
101,7,15.0,13,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,0.0,
101,7,19.0,25,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,19.0,25,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,2.0,1.0
101,7,19.0,25,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,7,21.0,16,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,7,21.0,16,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
