tinh,huyen,xa,diaban,hoso,thunhap,thubq,chitieu,chids,chibq,chidsbq
101,5,35.0,16,19,79577.0,1658.0,82202.4,78622.4,1712.5,1638.0
101,6,1.0,10,13,38537.0,803.0,43936.9,42356.9,915.4000000000001,882.4000000000001
101,6,1.0,10,14,24094.0,502.0,26477.5,25517.5,551.6,531.6
101,6,1.0,10,19,42899.0,715.0,56849.1,51329.1,947.5,855.5
101,6,7.0,17,13,37850.0,526.0,49506.1,43856.1,687.6,609.1
101,6,7.0,17,14,26400.0,550.0,31807.9,28507.9,662.7,593.9
101,6,7.0,17,19,58362.0,1216.0,61263.0,55330.0,1276.3000000000002,1152.7
101,6,11.0,12,13,40038.0,477.0,42241.6,37407.6,502.90000000000003,445.3
101,6,11.0,12,14,19185.0,1599.0,16366.199,15416.199,1363.8000000000002,1284.7
101,6,11.0,12,15,109801.0,3050.0,26373.9,20533.9,732.6,570.4
101,6,21.0,13,13,44303.0,923.0,47149.4,46849.4,982.3000000000001,976.0
101,6,21.0,13,14,33950.0,1415.0,35503.6,32397.6,1479.3000000000002,1349.9
101,6,21.0,13,15,62748.0,1307.0,64975.6,63491.6,1353.7,1322.7
101,6,25.0,5,13,97645.0,1627.0,80449.3,73314.3,1340.8000000000002,1221.9
101,6,25.0,5,14,57015.0,950.0,70759.5,63037.5,1179.3,1050.6000000000001
101,6,25.0,5,15,34974.0,972.0,51038.9,47983.9,1417.7,1332.9
101,6,27.0,5,13,75381.0,3141.0,62481.3,49393.3,2603.4,2058.1
101,6,27.0,5,14,51946.0,1082.0,50104.2,42436.2,1043.8,884.1
101,6,27.0,5,15,42323.0,882.0,37190.3,34274.3,774.8000000000001,714.0
101,7,3.0,19,13,189302.0,2629.0,134179.7,130449.7,1863.6000000000001,1811.8000000000002
101,7,3.0,19,14,91146.0,1519.0,110929.0,107829.0,1848.8000000000002,1797.2
101,7,3.0,19,15,155284.0,2588.0,94608.6,87908.6,1576.8000000000002,1465.1000000000001
101,7,11.0,15,13,314450.0,3743.0,157911.4,151761.4,1879.9,1806.7
101,7,11.0,15,14,52549.0,876.0,58250.0,57200.0,970.8000000000001,953.3000000000001
101,7,11.0,15,15,291728.0,4862.0,124798.7,123228.7,2080.0,2053.8
101,7,15.0,13,15,43452.0,905.0,48012.3,45012.3,1000.3000000000001,937.8000000000001
101,7,15.0,13,19,149139.0,3107.0,101503.9,93753.9,2114.7000000000003,1953.2
101,7,15.0,13,20,35229.0,2936.0,25370.5,21870.5,2114.2000000000003,1822.5
101,7,19.0,25,13,92338.0,1539.0,86775.4,83915.4,1446.3000000000002,1398.6000000000001
101,7,19.0,25,15,57921.0,1207.0,52921.5,50021.5,1102.5,1042.1000000000001
101,7,19.0,25,20,184471.0,2196.0,168116.9,157916.9,2001.4,1880.0
101,7,21.0,16,13,65502.0,1820.0,77010.5,75810.5,2139.2000000000003,2105.8
101,7,21.0,16,15,140953.0,1958.0,118227.4,118127.4,1642.0,1640.7
101,7,21.0,16,20,59448.0,1239.0,71426.2,69776.2,1488.0,1453.7
