tinh,huyen,xa,m2tt,m2c9,m2c10a,m2c10b,m2c11,m2c12,m2c13a,m2c13b,m2c13c,m2c14a,m2c14b,m2c14c,m2c15
101,23,23,2,2,6,2008,30,1,1.0,0.0,,1.0,0.0,,2000.0
101,23,23,3,2,5,2008,30,1,1.0,0.0,,1.0,0.0,,2000.0
101,23,23,4,2,4,2008,30,1,1.0,0.0,,1.0,0.0,,2000.0
101,23,23,5,6,1,2006,150,1,1.0,0.0,,1.0,0.0,,8000.0
103,11,05,1,2,2,2008,2190,1,1.0,0.0,,1.0,0.0,,87000.0
103,11,07,1,7,2,2008,1319,1,1.0,0.0,,1.0,0.0,,62311.0
103,11,14,1,7,2,2008,2370,1,1.0,0.0,,1.0,0.0,,150834.0
103,11,21,1,7,2,2008,1592,1,1.0,0.0,,1.0,0.0,,68156.0
103,11,27,1,7,2,2008,2282,1,1.0,0.0,,1.0,0.0,,94771.0
103,11,35,1,7,1,2008,1000,1,1.0,4.0,0.0,6.0,0.0,,54726.0
103,11,43,1,7,1,2008,2128,1,1.0,0.0,,1.0,0.0,,60700.0
103,13,07,1,6,2,2006,100,1,1.0,0.0,,1.0,0.0,,25300.0
103,15,03,1,7,2,2008,2260,1,1.0,0.0,,1.0,0.0,,115225.0
103,15,03,2,6,2,2007,210,2,,,,,,,
103,15,11,1,7,2,2008,1725,1,1.0,0.0,,1.0,0.0,,60000.0
103,17,17,1,7,3,2008,781,1,1.0,0.0,,1.0,0.0,,25986.0
103,17,17,2,6,3,2006,12,1,1.0,0.0,,1.0,3.0,0.0,67652.0
103,17,23,1,7,3,2008,1054,1,1.0,0.0,,1.0,0.0,,43100.0
103,17,23,2,6,12,2005,-1,1,1.0,0.0,,1.0,3.0,0.0,-1.0
103,17,23,3,4,7,2005,0,1,1.0,0.0,,7.0,0.0,,2000.0
103,17,31,1,7,3,2008,1250,1,1.0,0.0,,1.0,0.0,,29400.0
103,17,31,2,6,11,2005,38,1,1.0,0.0,,1.0,0.0,,17979.0
103,19,09,1,7,1,2008,604,1,1.0,0.0,,1.0,0.0,,25438.0
103,19,17,1,7,2,2008,954,1,1.0,0.0,,1.0,0.0,,36236.0
103,19,25,1,7,2,2008,1428,1,1.0,0.0,,1.0,0.0,,76812.0
103,21,17,1,7,1,2008,1688,1,1.0,0.0,,1.0,0.0,,125000.0
103,21,25,1,7,10,2007,1085,1,1.0,0.0,,1.0,0.0,,22000.0
103,21,25,2,3,9,2005,40,2,,,,,,,
103,21,35,1,7,1,2008,1900,1,1.0,0.0,,1.0,0.0,,117000.0
103,21,43,1,7,2,2008,1578,1,1.0,0.0,,1.0,0.0,,80000.0
103,21,43,2,4,9,2005,30,2,,,,,,,
103,21,43,3,6,3,2005,50,1,1.0,0.0,,1.0,0.0,,2000.0
103,21,43,4,6,2,2005,150,2,,,,,,,
103,21,43,5,6,9,2005,1200,1,1.0,0.0,,1.0,0.0,,29000.0
103,21,51,1,7,2,2008,1800,1,1.0,0.0,,1.0,0.0,,76000.0
103,21,51,2,6,9,2007,1100,1,1.0,0.0,,1.0,0.0,,30000.0
103,21,51,3,6,2,2007,100,2,,,,,,,
103,21,51,4,6,2,2006,50,2,,,,,,,
103,21,51,5,3,9,2005,250,1,1.0,0.0,,1.0,6.0,0.0,85000.0
104,01,17,1,7,2,2008,1727,1,1.0,0.0,,1.0,0.0,,152000.0
