tinh,huyen,xa,diaban,hoso,m4b22t,m4b22c19,m4b21c,m4b21tn,m4b22c,m4b22tn,m4b31a,m4b31b,m4b3t,m4b3c,m4b3tn,m4b41a,m4b41b,m4b4t,m4b4c,m4b41tn,m4b51a,m4b51b,m4b5t,m4b5c,m4b5tn,m4c1,m4ctt,m4ct,m4cct,m4cc,m4ctnt,m4ctn,m4d1tn,m4d2t
101,1,21.0,36,19,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,226129.0,146984.2,90795.0,54607.8,135334.0,92376.4,3696.0,0.0
101,1,23.0,18,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1,23.0,18,24,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,17045.0,0.0
101,1,23.0,18,29,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,160020.0,160020.0,71724.0,71724.0,88296.0,88296.0,0.0,0.0
101,3,3.0,23,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,107827.0,107827.0,65688.0,65688.0,42139.0,42139.0,878.0,0.0
101,3,3.0,23,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,6891.0,0.0
101,3,3.0,23,19,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,19591.0,0.0
101,3,11.0,9,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,263286.0,263286.0,54552.0,54552.0,208734.0,208734.0,0.0,0.0
101,3,11.0,9,19,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,13079.0,0.0
101,3,11.0,9,20,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,12984.0,12984.0,192.0,192.0,12792.0,12792.0,8535.0,110000.0
101,3,13.0,8,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,8686.0,0.0
101,3,13.0,8,14,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,28968.0,0.0
101,3,13.0,8,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,12252.0,12252.0,2076.0,2076.0,10176.0,10176.0,38313.0,700000.0
101,5,3.0,17,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,23196.0,23196.0,7740.0,7740.0,15456.0,15456.0,31603.0,0.0
101,5,3.0,17,14,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,19590.0,0.0
101,5,3.0,17,20,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,68752.0,0.0
