tinh,huyen,xa,diaban,hoso,m4d1c2_01,m4d1c2_02,m4d1c2_03,m4d1c2_04,m4d1c2_05,m4d1c2_06,m4d1c2_07,m4d1c2_08,m4d1c2_09,m4d1c2_10,m4d1c2_11,m4d1c2_12,m4d2c2_1,m4d2c2_2,m4d2c2_3,m4d2c2_4,m4d2c2_5
101,3,13.0,8,14,17556.0,4389.0,0.0,0.0,0.0,0.0,0.0,0.0,7023.0,0.0,0.0,0.0,0,0,0,0,0
101,3,13.0,8,15,18563.0,3712.0,10692.0,0.0,0.0,5346.0,0.0,0.0,0.0,0.0,0.0,0.0,700000,0,0,0,0
101,5,3.0,17,13,0.0,2772.0,27445.0,0.0,0.0,0.0,0.0,0.0,1386.0,0.0,0.0,0.0,0,0,0,0,0
101,5,3.0,17,14,0.0,1848.0,17742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,3.0,17,20,0.0,22178.0,46574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,11.0,7,13,0.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,11.0,7,14,0.0,3419.0,0.0,0.0,0.0,0.0,0.0,0.0,4158.0,0.0,0.0,0.0,0,0,0,0,0
101,5,11.0,7,15,0.0,4620.0,16633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,17.0,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0,0,0,0,0,0
101,5,17.0,18,14,0.0,7023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,17.0,18,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2772.0,0.0,0.0,0.0,0,0,0,0,0
101,5,25.0,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,25.0,12,14,0.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,25.0,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,33.0,12,14,0.0,2370.0,0.0,0.0,0.0,0.0,0.0,0.0,3511.0,0.0,0.0,0.0,0,0,0,0,0
101,5,33.0,12,15,0.0,1848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,33.0,12,24,0.0,2194.0,20277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,5,35.0,16,14,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5868
101,5,35.0,16,15,0.0,684.0,57108.0,0.0,0.0,0.0,0.0,0.0,4620.0,0.0,0.0,1442.0,0,0,0,0,2800
101,5,35.0,16,19,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,8039.0,0.0,0.0,0.0,0,0,0,0,2928
101,6,1.0,10,13,0.0,16853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,6,1.0,10,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,6,1.0,10,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2731.0,0.0,0.0,0.0,0,0,15000,0,0
101,6,7.0,17,13,0.0,853.0,15704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5000,5000,0
101,6,7.0,17,14,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,15000,0
101,6,7.0,17,19,0.0,7393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,6,11.0,12,13,0.0,2560.0,13315.0,0.0,0.0,0.0,0.0,0.0,6828.0,0.0,0.0,0.0,0,0,20000,0,0
101,6,11.0,12,14,0.0,6007.0,0.0,0.0,0.0,0.0,0.0,0.0,2957.0,0.0,0.0,0.0,0,0,0,0,0
101,6,11.0,12,15,0.0,85230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,6,21.0,13,13,0.0,0.0,25280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1200,0,0,0
