tinh,huyen,xa,diaban,hoso,matv,m3c7,m3c8a,m3c8b,m3c9,m3c10a,m3c10b,m3c11a,m3c11b,m3c12a,m3c12b,m3c13a,m3c13b,m3c14,m3c15
115,5,27.0,19,15,1.0,B«ng,1.0,12.0,3.0,1.0,70.0,,,0.0,,,,1.0,
115,5,35.0,3,13,,,,,,,,,,,,,,,
115,5,35.0,3,14,1.0,Nh¹,1.0,4.0,4.0,3.0,790.0,3.0,790.0,0.0,,,,1.0,
115,5,35.0,3,15,2.0,X­a,1.0,5.0,4.0,0.0,,,,1.0,530.0,1.0,420.0,1.0,
115,5,35.0,3,15,1.0,Thµnh,1.0,6.0,4.0,0.0,,,,1.0,640.0,1.0,560.0,1.0,
115,5,53.0,8,13,1.0,®éng,1.0,5.0,4.0,2.0,1150.0,1.0,60.0,0.0,,,,1.0,
115,5,53.0,8,13,2.0,TÊn,1.0,5.0,4.0,2.0,650.0,1.0,55.0,0.0,,,,1.0,
115,5,53.0,8,15,2.0,Mõng,1.0,6.0,4.0,0.0,,,,1.0,10000.0,,,1.0,
115,5,53.0,8,15,2.0,Mõng,2.0,2.0,3.0,1.0,200.0,,,0.0,,,,1.0,
115,5,53.0,8,19,,,,,,,,,,,,,,,
115,5,61.0,20,13,2.0,V¾ng,2.0,3.0,4.0,2.0,180.0,2.0,135.0,0.0,,,,1.0,
115,5,61.0,20,13,2.0,V¾ng,1.0,2.0,4.0,4.0,60.0,4.0,60.0,0.0,,,,1.0,
115,5,61.0,20,13,3.0,Trang,1.0,2.0,4.0,3.0,60.0,3.0,50.0,0.0,,,,1.0,
115,5,61.0,20,13,2.0,V¾ng,3.0,11.0,4.0,1.0,70.0,0.0,,0.0,,,,1.0,
115,5,61.0,20,13,1.0,S¸ng,1.0,2.0,4.0,3.0,100.0,3.0,80.0,0.0,,,,1.0,
115,5,61.0,20,15,3.0,Ph­¬ng,1.0,2.0,1.0,5.0,0.0,0.0,,0.0,,,,1.0,
115,5,61.0,20,15,4.0,TÕ,3.0,11.0,4.0,1.0,50.0,,,0.0,,,,1.0,
115,5,61.0,20,15,3.0,Ph­¬ng,2.0,2.0,4.0,1.0,20.0,1.0,20.0,0.0,,,,1.0,
115,5,61.0,20,15,2.0,Loan,1.0,2.0,4.0,1.0,45.0,0.0,,0.0,,,,1.0,
115,5,61.0,20,15,4.0,TÕ,2.0,4.0,4.0,1.0,100.0,,,0.0,,,,1.0,
115,5,61.0,20,15,4.0,TÕ,1.0,2.0,4.0,2.0,40.0,,,0.0,,,,1.0,
115,5,61.0,20,20,4.0,Th­¬ng,1.0,2.0,4.0,3.0,50.0,0.0,,0.0,,,,1.0,
115,5,61.0,20,20,2.0,Ra,3.0,11.0,4.0,1.0,70.0,0.0,,0.0,,,,1.0,
115,5,61.0,20,20,4.0,Th­¬ng,2.0,3.0,4.0,1.0,70.0,1.0,30.0,0.0,,,,1.0,
115,5,61.0,20,20,1.0,§¶m,1.0,2.0,4.0,3.0,60.0,,,0.0,,,,1.0,
115,5,61.0,20,20,2.0,Ra,1.0,2.0,4.0,4.0,80.0,0.0,,0.0,,,,1.0,
115,5,61.0,20,20,2.0,Ra,2.0,3.0,4.0,2.0,180.0,1.0,80.0,0.0,,,,1.0,
115,5,61.0,20,20,3.0,Th¶o,1.0,2.0,4.0,2.0,30.0,0.0,,0.0,,,,1.0,
115,5,65.0,10,13,,,,,,,,,,,,,,,
115,5,65.0,10,14,2.0,Vãc,1.0,2.0,4.0,2.0,45.0,,,0.0,,,,1.0,
115,5,65.0,10,15,2.0,Can,1.0,2.0,4.0,2.0,40.0,2.0,40.0,0.0,,,,1.0,
115,5,65.0,10,15,1.0,RiÕn,1.0,2.0,4.0,4.0,100.0,4.0,100.0,0.0,,,,1.0,
115,5,65.0,10,15,1.0,RiÕn,2.0,4.0,4.0,3.0,130.0,3.0,110.0,0.0,,,,2.0,3.0
115,7,1.0,12,14,,,,,,,,,,,,,,,
115,7,1.0,12,19,2.0,NhÉn,1.0,4.0,4.0,12.0,2400.0,12.0,1920.0,0.0,,,,1.0,
115,7,1.0,12,20,1.0,Dòng,1.0,4.0,4.0,0.0,,,,1.0,150.0,1.0,150.0,1.0,
115,7,1.0,12,20,2.0,HiÒn,1.0,5.0,3.0,7.0,6050.0,3.0,1500.0,0.0,,,,1.0,
115,7,13.0,17,13,,,,,,,,,,,,,,,
115,7,13.0,17,14,2.0,Ngä,1.0,4.0,3.0,1.0,30.0,,,0.0,,,,1.0,
115,7,13.0,17,14,1.0,NguyÔn,1.0,4.0,3.0,4.0,120.0,0.0,,0.0,,,,1.0,
115,7,13.0,17,15,2.0,H¹nh,1.0,4.0,3.0,6.0,240.0,1.0,180.0,0.0,,,,1.0,
115,7,13.0,17,15,1.0,Ngäc,1.0,5.0,3.0,1.0,350.0,1.0,264.0,0.0,,,,1.0,
115,7,13.0,17,15,1.0,Ngäc,2.0,4.0,3.0,3.0,130.0,1.0,80.0,0.0,,,,1.0,
115,7,19.0,7,13,1.0,Chän,1.0,2.0,3.0,1.0,15.0,1.0,15.0,0.0,,,,1.0,
115,7,19.0,7,13,1.0,Chän,2.0,4.0,4.0,1.0,320.0,1.0,125.0,0.0,,,,1.0,
115,7,19.0,7,13,2.0,TrÇn,1.0,4.0,3.0,1.0,55.0,1.0,25.0,0.0,,,,1.0,
115,7,19.0,7,14,2.0,Lý,1.0,2.0,3.0,2.0,15.0,2.0,15.0,0.0,,,,1.0,
115,7,19.0,7,14,4.0,Khang,1.0,2.0,4.0,2.0,15.0,2.0,15.0,0.0,,,,1.0,
115,7,19.0,7,14,3.0,Kh­¬ng,1.0,2.0,4.0,13.0,390.0,13.0,390.0,0.0,,,,1.0,
115,7,19.0,7,14,2.0,Lý,2.0,5.0,3.0,1.0,300.0,1.0,150.0,0.0,,,,1.0,
115,7,19.0,7,15,1.0,Dòng,1.0,10.0,4.0,1.0,520.0,0.0,,0.0,,,,1.0,
115,7,19.0,7,15,1.0,Dòng,2.0,2.0,3.0,2.0,20.0,1.0,14.0,0.0,,,,1.0,
115,7,19.0,7,15,2.0,H¹t,1.0,2.0,3.0,2.0,17.0,,,0.0,,,,1.0,
115,7,41.0,8,13,1.0,KLh¶i,1.0,4.0,4.0,2.0,350.0,,,1.0,540.0,,,1.0,
115,7,41.0,8,14,1.0,Hoan,1.0,4.0,4.0,2.0,820.0,1.0,540.0,1.0,1200.0,1.0,800.0,1.0,
115,7,41.0,8,15,3.0,L¹c,1.0,4.0,3.0,3.0,250.0,3.0,120.0,0.0,,,,1.0,
115,7,41.0,8,15,3.0,L¹c,2.0,11.0,4.0,10.0,1000.0,0.0,,0.0,,,,1.0,
115,7,47.0,6,13,2.0,ChÝnh,1.0,2.0,3.0,3.0,80.0,3.0,50.0,0.0,,,,1.0,
115,7,47.0,6,14,2.0,Vin,1.0,2.0,3.0,1.0,36.0,1.0,30.0,0.0,,,,1.0,
115,7,47.0,6,14,1.0,§¹i,1.0,5.0,3.0,2.0,130.0,2.0,70.0,0.0,,,,1.0,
115,7,47.0,6,15,,,,,,,,,,,,,,,
115,7,49.0,3,13,4.0,Vi,1.0,4.0,4.0,0.0,,,,1.0,150.0,1.0,70.0,1.0,
115,7,49.0,3,13,3.0,ViÕt,1.0,4.0,3.0,1.0,20.0,1.0,15.0,0.0,,,,1.0,
115,7,49.0,3,13,1.0,Ngù,2.0,4.0,3.0,2.0,30.0,2.0,30.0,0.0,,,,1.0,
115,7,49.0,3,13,1.0,Ngù,3.0,5.0,3.0,2.0,40.0,2.0,40.0,0.0,,,,1.0,
115,7,49.0,3,13,1.0,Ngù,1.0,10.0,3.0,1.0,300.0,0.0,,0.0,,,,1.0,
115,7,49.0,3,13,2.0,§­îm,1.0,4.0,3.0,2.0,100.0,2.0,25.0,0.0,,,,1.0,
115,7,49.0,3,14,4.0,Nhung,2.0,4.0,3.0,2.0,48.0,2.0,48.0,0.0,,,,1.0,
115,7,49.0,3,14,4.0,Nhung,1.0,6.0,4.0,0.0,,,,1.0,7000.0,1.0,200.0,1.0,
115,7,49.0,3,15,2.0,Ngoan,2.0,12.0,4.0,1.0,200.0,,,0.0,,,,1.0,
115,7,49.0,3,15,2.0,Ngoan,1.0,5.0,4.0,0.0,,,,1.0,5000.0,,,1.0,
115,7,51.0,18,13,2.0,YÕn,1.0,4.0,4.0,1.0,520.0,,,0.0,,,,1.0,
115,7,51.0,18,13,1.0,Dòng,1.0,5.0,4.0,0.0,,,,1.0,2400.0,1.0,2000.0,1.0,
115,7,51.0,18,14,1.0,Tµi,2.0,4.0,4.0,0.0,,,,1.0,500.0,1.0,150.0,1.0,
115,7,51.0,18,14,2.0,ThuyÕt,1.0,12.0,4.0,3.0,90.0,0.0,,0.0,,,,1.0,
115,7,51.0,18,14,1.0,Tµi,1.0,5.0,4.0,0.0,,,,1.0,2000.0,1.0,1300.0,1.0,
115,7,51.0,18,14,1.0,Tµi,3.0,2.0,4.0,1.0,20.0,1.0,10.0,0.0,,,,1.0,
115,7,51.0,18,15,1.0,¢n,1.0,4.0,4.0,0.0,,,,1.0,1500.0,1.0,1200.0,1.0,
115,7,59.0,10,13,1.0,Nhµi,1.0,5.0,3.0,1.0,100.0,1.0,80.0,0.0,,,,1.0,
115,7,59.0,10,13,1.0,Nhµi,3.0,5.0,4.0,0.0,,,,1.0,3500.0,1.0,2500.0,1.0,
115,7,59.0,10,13,1.0,Nhµi,2.0,6.0,3.0,1.0,300.0,1.0,100.0,0.0,,,,1.0,
115,7,59.0,10,14,1.0,Nguyªn,1.0,11.0,4.0,5.0,600.0,0.0,,0.0,,,,1.0,
115,7,59.0,10,15,2.0,Nhung,1.0,4.0,3.0,3.0,100.0,,,0.0,,,,1.0,
115,7,59.0,10,15,2.0,Nhung,2.0,8.0,4.0,0.0,,,,1.0,5000.0,,,1.0,
115,7,67.0,2,13,2.0,S¸u,1.0,4.0,4.0,1.0,223.0,1.0,20.0,0.0,,,,1.0,
115,7,67.0,2,13,2.0,S¸u,3.0,12.0,4.0,2.0,127.0,0.0,,0.0,,,,1.0,
115,7,67.0,2,13,2.0,S¸u,2.0,5.0,4.0,1.0,322.0,0.0,,0.0,,,,1.0,
115,7,67.0,2,14,2.0,Th¶ng,2.0,11.0,4.0,1.0,120.0,0.0,,0.0,,,,1.0,
115,7,67.0,2,14,1.0,Khëi,2.0,2.0,4.0,1.0,125.0,0.0,,0.0,,,,1.0,
115,7,67.0,2,14,2.0,Th¶ng,1.0,4.0,3.0,1.0,20.0,1.0,20.0,0.0,,,,1.0,
115,7,67.0,2,14,1.0,Khëi,1.0,5.0,4.0,3.0,645.0,0.0,,0.0,,,,1.0,
115,7,67.0,2,14,1.0,Khëi,3.0,11.0,4.0,1.0,200.0,0.0,,0.0,,,,1.0,
115,7,67.0,2,15,1.0,HuÉn,2.0,2.0,4.0,1.0,400.0,,,0.0,,,,1.0,
115,7,67.0,2,15,1.0,HuÉn,1.0,4.0,4.0,0.0,,,,1.0,800.0,,,1.0,
115,7,71.0,16,13,4.0,Quúnh,1.0,4.0,3.0,2.0,150.0,2.0,120.0,0.0,,,,1.0,
115,7,71.0,16,13,4.0,Quúnh,2.0,5.0,4.0,1.0,250.0,1.0,200.0,0.0,,,,1.0,
115,7,71.0,16,14,2.0,HiÒn,1.0,4.0,3.0,1.0,50.0,1.0,50.0,0.0,,,,1.0,
115,7,71.0,16,14,1.0,Giang,1.0,5.0,3.0,1.0,550.0,,,0.0,,,,1.0,
115,7,71.0,16,14,4.0,Nhîi,1.0,4.0,3.0,1.0,150.0,1.0,100.0,0.0,,,,1.0,
115,7,71.0,16,15,2.0,HuÕ,1.0,4.0,4.0,0.0,,,,1.0,2000.0,1.0,1000.0,1.0,
115,7,71.0,16,15,4.0,Minh,1.0,2.0,3.0,1.0,20.0,1.0,20.0,0.0,,,,1.0,
115,7,95.0,13,13,1.0,TÕ,1.0,4.0,3.0,1.0,150.0,1.0,100.0,0.0,,,,1.0,
115,7,95.0,13,13,2.0,H¶i,1.0,4.0,4.0,4.0,1704.0,4.0,1420.0,0.0,,,,1.0,
115,7,95.0,13,14,,,,,,,,,,,,,,,
115,7,95.0,13,15,2.0,B¶o,1.0,5.0,4.0,0.0,,,,1.0,5000.0,,,1.0,
115,9,11.0,20,13,5.0,Nh©m,1.0,2.0,4.0,5.0,100.0,5.0,100.0,0.0,,,,1.0,
115,9,11.0,20,13,5.0,Nh©m,2.0,4.0,4.0,2.0,300.0,2.0,250.0,0.0,,,,1.0,
115,9,11.0,20,14,4.0,Kim,2.0,4.0,2.0,1.0,180.0,1.0,160.0,0.0,,,,1.0,
115,9,11.0,20,14,6.0,Phóc,1.0,2.0,1.0,1.0,0.0,0.0,,0.0,,,,1.0,
115,9,11.0,20,14,4.0,Kim,3.0,2.0,2.0,1.0,150.0,1.0,140.0,0.0,,,,1.0,
115,9,11.0,20,14,5.0,§øc,1.0,2.0,4.0,8.0,240.0,8.0,240.0,0.0,,,,1.0,
115,9,11.0,20,14,4.0,Kim,1.0,2.0,1.0,1.0,0.0,0.0,,0.0,,,,1.0,
115,9,11.0,20,15,2.0,Hoµ,3.0,12.0,4.0,2.0,200.0,0.0,,0.0,,,,1.0,
115,9,11.0,20,15,2.0,Hoµ,1.0,2.0,4.0,3.0,100.0,3.0,100.0,0.0,,,,1.0,
115,9,11.0,20,15,1.0,Sen,1.0,4.0,4.0,1.0,150.0,1.0,80.0,0.0,,,,1.0,
115,9,11.0,20,15,1.0,Sen,2.0,12.0,4.0,1.0,320.0,0.0,,0.0,,,,1.0,
115,9,11.0,20,15,2.0,Hoµ,2.0,4.0,4.0,0.0,,,,2.0,300.0,2.0,200.0,1.0,
115,9,17.0,6,13,1.0,Phong,1.0,4.0,4.0,3.0,70.0,3.0,60.0,0.0,,,,1.0,
115,9,17.0,6,13,3.0,Anh,1.0,4.0,4.0,0.0,,,,1.0,500.0,1.0,350.0,1.0,
115,9,17.0,6,15,1.0,lan,3.0,8.0,3.0,2.0,480.0,0.0,,0.0,,,,1.0,
115,9,17.0,6,15,1.0,lan,4.0,2.0,3.0,1.0,20.0,0.0,,0.0,,,,1.0,
115,9,17.0,6,15,1.0,lan,1.0,4.0,3.0,4.0,100.0,4.0,70.0,0.0,,,,1.0,
115,9,17.0,6,15,1.0,lan,2.0,12.0,4.0,1.0,150.0,0.0,,0.0,,,,1.0,
115,9,17.0,6,15,2.0,§µi,1.0,12.0,3.0,5.0,150.0,,,0.0,,,,1.0,
115,9,17.0,6,19,4.0,H»ng,1.0,12.0,4.0,1.0,100.0,0.0,,0.0,,,,1.0,
115,9,21.0,13,13,2.0,Thu,1.0,4.0,4.0,0.0,,,,1.0,200.0,1.0,150.0,1.0,
115,9,21.0,13,13,4.0,Nam,1.0,2.0,3.0,1.0,20.0,0.0,,0.0,,,,1.0,
115,9,21.0,13,14,1.0,Khñng,2.0,2.0,3.0,3.0,50.0,0.0,,0.0,,,,1.0,
115,9,21.0,13,14,3.0,Thuý,3.0,4.0,3.0,1.0,30.0,,,0.0,,,,1.0,
115,9,21.0,13,14,3.0,Thuý,2.0,8.0,3.0,1.0,30.0,,,0.0,,,,1.0,
115,9,21.0,13,14,3.0,Thuý,1.0,5.0,4.0,0.0,,,,1.0,3000.0,,,1.0,
115,9,21.0,13,14,3.0,Thuý,4.0,2.0,3.0,2.0,0.0,,,0.0,,,,1.0,
115,9,21.0,13,14,4.0,Viªt,1.0,4.0,4.0,1.0,0.0,0.0,,0.0,,,,1.0,
115,9,21.0,13,14,1.0,Khñng,1.0,4.0,4.0,6.0,200.0,6.0,160.0,4.0,2000.0,4.0,800.0,1.0,
115,9,21.0,13,14,4.0,Viªt,2.0,2.0,1.0,3.0,0.0,0.0,,0.0,,,,1.0,
115,9,21.0,13,15,1.0,D­¬ng,2.0,4.0,4.0,1.0,100.0,1.0,30.0,0.0,,,,1.0,
115,9,21.0,13,15,1.0,D­¬ng,1.0,5.0,4.0,0.0,,,,1.0,7000.0,1.0,2000.0,1.0,
115,9,21.0,13,15,2.0,Ngäc,1.0,4.0,4.0,4.0,160.0,4.0,120.0,0.0,,,,1.0,
115,9,33.0,9,13,1.0,ChiÕn,2.0,5.0,4.0,0.0,,,,2.0,4150.0,2.0,2700.0,1.0,
115,9,33.0,9,13,1.0,ChiÕn,1.0,4.0,3.0,1.0,80.0,1.0,50.0,0.0,,,,1.0,
115,9,33.0,9,14,2.0,Ho¹t,1.0,11.0,4.0,1.0,150.0,,,0.0,,,,1.0,
115,9,33.0,9,15,1.0,Th­ëng,1.0,12.0,4.0,1.0,350.0,,,0.0,,,,1.0,
115,9,33.0,9,15,1.0,Th­ëng,2.0,10.0,4.0,1.0,150.0,,,0.0,,,,1.0,
115,9,33.0,9,15,2.0,C­,1.0,8.0,3.0,1.0,250.0,,,0.0,,,,1.0,
115,9,33.0,9,15,1.0,Th­ëng,3.0,5.0,4.0,1.0,150.0,,,0.0,,,,1.0,
115,9,53.0,8,13,1.0,H¶i,1.0,12.0,4.0,2.0,350.0,0.0,,0.0,,,,1.0,
115,9,53.0,8,13,1.0,H¶i,2.0,4.0,4.0,2.0,400.0,2.0,160.0,0.0,,,,1.0,
115,9,53.0,8,14,1.0,§Ò,1.0,5.0,4.0,0.0,,,,2.0,5960.0,2.0,2100.0,1.0,
115,9,53.0,8,15,1.0,trªn,1.0,4.0,4.0,1.0,70.0,1.0,50.0,0.0,,,,1.0,
115,9,55.0,10,13,,,,,,,,,,,,,,,
115,9,55.0,10,14,,,,,,,,,,,,,,,
115,9,55.0,10,15,5.0,Hång,1.0,4.0,4.0,1.0,90.0,1.0,70.0,0.0,,,,1.0,
115,9,55.0,10,15,3.0,Lan,1.0,5.0,4.0,1.0,150.0,1.0,120.0,0.0,,,,1.0,
115,9,55.0,10,15,5.0,Hång,2.0,6.0,4.0,1.0,1050.0,0.0,,0.0,,,,1.0,
115,9,57.0,6,13,1.0,Long,1.0,2.0,3.0,2.0,20.0,1.0,20.0,0.0,,,,1.0,
115,9,57.0,6,14,,,,,,,,,,,,,,,
115,9,57.0,6,15,2.0,Huúnh,1.0,11.0,4.0,1.0,120.0,0.0,,0.0,,,,1.0,
115,9,83.0,3,13,2.0,Th¶o,1.0,4.0,4.0,0.0,,,,1.0,5000.0,1.0,3000.0,2.0,7.0
115,9,83.0,3,14,,,,,,,,,,,,,,,
115,9,83.0,3,15,,,,,,,,,,,,,,,
115,9,85.0,6,13,2.0,Tý,1.0,4.0,4.0,0.0,,,,2.0,2500.0,,,1.0,
115,9,85.0,6,14,,,,,,,,,,,,,,,
115,9,85.0,6,15,1.0,Thµnh,1.0,4.0,3.0,8.0,224.0,8.0,200.0,0.0,,,,1.0,
115,9,85.0,6,15,2.0,Mïi,1.0,4.0,3.0,8.0,324.0,8.0,215.0,0.0,,,,1.0,
115,11,5.0,14,13,2.0,Ngäc,1.0,3.0,3.0,3.0,120.0,,,0.0,,,,1.0,
115,11,5.0,14,14,,,,,,,,,,,,,,,
115,11,5.0,14,15,4.0,KhuÓ,1.0,4.0,4.0,0.0,,,,1.0,1500.0,1.0,500.0,1.0,
115,11,5.0,14,15,1.0,KhuyÕn,1.0,4.0,4.0,2.0,1000.0,,,0.0,,,,1.0,
115,11,5.0,14,15,4.0,KhuÓ,2.0,11.0,4.0,1.0,1000.0,0.0,,0.0,,,,1.0,
115,11,5.0,14,15,1.0,KhuyÕn,2.0,12.0,4.0,3.0,1000.0,,,0.0,,,,1.0,
115,11,13.0,12,13,,,,,,,,,,,,,,,
115,11,13.0,12,14,,,,,,,,,,,,,,,
115,11,13.0,12,15,1.0,Ty,1.0,13.0,4.0,2.0,1000.0,,,0.0,,,,1.0,
115,11,13.0,12,15,2.0,Lan,1.0,12.0,4.0,12.0,240.0,,,0.0,,,,1.0,
115,11,17.0,20,13,1.0,Th¾ng,1.0,12.0,4.0,1.0,170.0,,,0.0,,,,1.0,
115,11,17.0,20,14,2.0,M¬,1.0,4.0,4.0,3.0,100.0,1.0,50.0,0.0,,,,1.0,
115,11,17.0,20,15,3.0,B»ng,1.0,8.0,4.0,0.0,,,,1.0,7000.0,,,1.0,
115,11,17.0,20,15,3.0,B»ng,2.0,2.0,4.0,1.0,500.0,,,0.0,,,,1.0,
115,11,19.0,5,13,1.0,S©m,2.0,4.0,4.0,0.0,,,,3.0,1570.0,3.0,1251.0,1.0,
115,11,19.0,5,13,1.0,S©m,1.0,2.0,4.0,3.0,90.0,3.0,90.0,0.0,,,,1.0,
115,11,19.0,5,13,2.0,Oanh,1.0,2.0,4.0,1.0,60.0,1.0,60.0,0.0,,,,1.0,
115,11,19.0,5,15,1.0,¶nh,2.0,12.0,4.0,1.0,300.0,0.0,,0.0,,,,1.0,
115,11,19.0,5,15,2.0,Mïi,1.0,4.0,4.0,0.0,,,,2.0,1084.0,1.0,417.0,1.0,
115,11,19.0,5,15,1.0,¶nh,1.0,5.0,4.0,0.0,,,,2.0,2684.0,2.0,834.0,1.0,
115,11,19.0,5,19,2.0,Tý,1.0,2.0,4.0,1.0,58.0,1.0,58.0,0.0,,,,1.0,
115,11,19.0,5,19,1.0,TriÕp,1.0,4.0,4.0,2.0,320.0,2.0,128.0,0.0,,,,1.0,
115,11,35.0,15,13,,,,,,,,,,,,,,,
115,11,35.0,15,14,,,,,,,,,,,,,,,
115,11,35.0,15,15,2.0,Nhan,1.0,2.0,4.0,1.0,50.0,1.0,50.0,0.0,,,,1.0,
115,11,35.0,15,15,1.0,Kiªn,1.0,2.0,4.0,1.0,50.0,1.0,50.0,0.0,,,,1.0,
115,11,43.0,9,13,4.0,Oanh,2.0,8.0,2.0,2.0,100.0,0.0,,0.0,,,,1.0,
115,11,43.0,9,13,4.0,Oanh,1.0,2.0,2.0,1.0,20.0,0.0,,0.0,,,,1.0,
115,11,43.0,9,14,,,,,,,,,,,,,,,
115,11,43.0,9,15,,,,,,,,,,,,,,,
115,11,45.0,14,13,2.0,Muén,1.0,4.0,4.0,1.0,40.0,1.0,40.0,0.0,,,,1.0,
115,11,45.0,14,13,1.0,H¶o,1.0,5.0,4.0,1.0,135.0,1.0,135.0,0.0,,,,1.0,
115,11,45.0,14,13,1.0,H¶o,2.0,11.0,4.0,1.0,130.0,0.0,,0.0,,,,1.0,
115,11,45.0,14,14,,,,,,,,,,,,,,,
115,11,45.0,14,15,2.0,H¶o,1.0,5.0,4.0,4.0,120.0,3.0,100.0,0.0,,,,1.0,
115,11,45.0,14,15,4.0,Duy,1.0,4.0,4.0,2.0,30.0,2.0,30.0,0.0,,,,1.0,
115,11,45.0,14,15,1.0,M­êi,1.0,10.0,4.0,3.0,1000.0,0.0,,0.0,,,,1.0,
115,11,45.0,14,15,5.0,Ph­¬ng,1.0,4.0,4.0,3.0,40.0,3.0,40.0,0.0,,,,1.0,
115,11,61.0,11,13,1.0,Thu,1.0,6.0,4.0,4.0,2700.0,0.0,,0.0,,,,1.0,
115,11,61.0,11,14,5.0,Anh,1.0,2.0,4.0,1.0,70.0,0.0,,0.0,,,,1.0,
115,11,61.0,11,15,2.0,Vinh,1.0,5.0,4.0,1.0,520.0,,,0.0,,,,1.0,
115,13,3.0,11,13,4.0,Ng©n,1.0,1.0,4.0,2.0,50.0,0.0,,0.0,,,,1.0,
115,13,3.0,11,13,1.0,H»ng,1.0,5.0,4.0,1.0,200.0,1.0,200.0,0.0,,,,1.0,
115,13,3.0,11,13,2.0,HuyÒn,1.0,5.0,4.0,1.0,300.0,1.0,300.0,0.0,,,,1.0,
115,13,3.0,11,13,3.0,Quyªn,1.0,5.0,2.0,1.0,300.0,,,0.0,,,,1.0,
115,13,3.0,11,14,1.0,Nh·n,1.0,2.0,4.0,4.0,800.0,,,0.0,,,,2.0,1.0
115,13,3.0,11,14,2.0,Chê,1.0,2.0,4.0,6.0,1000.0,,,0.0,,,,2.0,1.0
115,13,3.0,11,20,1.0,Héi,1.0,2.0,4.0,1.0,50.0,,,0.0,,,,1.0,
115,13,3.0,11,20,5.0,NguyÖt,1.0,5.0,3.0,4.0,225.0,4.0,200.0,0.0,,,,1.0,
115,13,3.0,11,20,4.0,H»ng,1.0,5.0,4.0,1.0,270.0,1.0,250.0,0.0,,,,1.0,
115,13,3.0,11,20,2.0,HuÖ,1.0,5.0,4.0,2.0,910.0,,,0.0,,,,1.0,
115,13,3.0,11,20,3.0,§¹t,1.0,5.0,4.0,2.0,900.0,2.0,500.0,0.0,,,,1.0,
115,13,9.0,12,13,2.0,§Êu,2.0,10.0,4.0,1.0,100.0,,,0.0,,,,1.0,
115,13,9.0,12,13,1.0,NhiÔu,1.0,2.0,3.0,1.0,20.0,0.0,,0.0,,,,1.0,
115,13,9.0,12,13,2.0,§Êu,1.0,4.0,3.0,1.0,50.0,,,0.0,,,,1.0,
115,13,9.0,12,14,1.0,Nh¹,1.0,10.0,3.0,3.0,656.0,0.0,,0.0,,,,1.0,
115,13,9.0,12,14,3.0,Hiªn,1.0,5.0,4.0,0.0,,,,1.0,4900.0,1.0,3700.0,3.0,3.0
115,13,9.0,12,19,4.0,Huúnh,1.0,5.0,4.0,1.0,450.0,1.0,150.0,0.0,,,,1.0,
115,13,9.0,12,19,1.0,HuyÒn,1.0,6.0,3.0,4.0,2500.0,0.0,,0.0,,,,1.0,
115,13,9.0,12,19,2.0,Thanh,1.0,5.0,3.0,1.0,230.0,,,0.0,,,,1.0,
115,13,9.0,12,19,4.0,Huúnh,2.0,2.0,3.0,6.0,120.0,0.0,,0.0,,,,1.0,
115,13,9.0,12,19,3.0,Trang,1.0,5.0,4.0,2.0,430.0,1.0,200.0,0.0,,,,1.0,
115,13,17.0,11,13,,,,,,,,,,,,,,,
115,13,17.0,11,14,,,,,,,,,,,,,,,
115,13,17.0,11,15,2.0,Th¶y,1.0,10.0,4.0,1.0,1000.0,,,0.0,,,,1.0,
115,13,17.0,11,15,1.0,Thanh,1.0,11.0,4.0,2.0,600.0,0.0,,0.0,,,,1.0,
115,13,33.0,7,13,,,,,,,,,,,,,,,
115,13,33.0,7,14,1.0,HuÖ,1.0,4.0,4.0,1.0,500.0,1.0,50.0,0.0,,,,1.0,
115,13,33.0,7,15,,,,,,,,,,,,,,,
115,13,35.0,5,13,2.0,S©m,1.0,2.0,3.0,1.0,50.0,,,0.0,,,,1.0,
115,13,35.0,5,14,2.0,NhuÇn,3.0,6.0,4.0,0.0,,,,2.0,1500.0,2.0,1100.0,2.0,6.0
115,13,35.0,5,14,3.0,Nhµn,1.0,2.0,3.0,2.0,60.0,2.0,0.0,0.0,,,,2.0,6.0
115,13,35.0,5,14,2.0,NhuÇn,1.0,4.0,4.0,2.0,100.0,2.0,0.0,0.0,,,,2.0,6.0
115,13,35.0,5,14,2.0,NhuÇn,2.0,5.0,4.0,2.0,500.0,2.0,0.0,2.0,1000.0,2.0,900.0,2.0,6.0
115,13,35.0,5,19,4.0,B¾c,1.0,4.0,4.0,2.0,80.0,0.0,,0.0,,,,1.0,
115,13,35.0,5,19,2.0,NguyÖt,1.0,5.0,4.0,1.0,120.0,0.0,,0.0,,,,1.0,
115,13,35.0,5,19,2.0,NguyÖt,2.0,4.0,4.0,1.0,50.0,1.0,0.0,0.0,,,,1.0,
115,13,35.0,5,19,4.0,B¾c,2.0,5.0,4.0,2.0,150.0,0.0,,0.0,,,,1.0,
115,13,39.0,6,13,2.0,C¸ch,1.0,2.0,3.0,1.0,50.0,,,0.0,,,,1.0,
115,13,39.0,6,13,1.0,L©m,2.0,5.0,3.0,1.0,80.0,,,0.0,,,,1.0,
115,13,39.0,6,13,1.0,L©m,1.0,5.0,4.0,1.0,120.0,,,0.0,,,,1.0,
115,13,39.0,6,14,1.0,TÊu,1.0,12.0,3.0,2.0,50.0,0.0,,0.0,,,,1.0,
