tinh,huyen,xa,diaban,hoso,matv,m3c7,m3c8a,m3c8b,m3c9,m3c10a,m3c10b,m3c11a,m3c11b,m3c12a,m3c12b,m3c13a,m3c13b,m3c14,m3c15
101,3,13.0,8,15,7.0,g¸i,1.0,5.0,4.0,4.0,1000.0,4.0,500.0,0.0,,,,1.0,
101,5,3.0,17,13,1.0,Liªn,1.0,5.0,4.0,2.0,700.0,2.0,120.0,0.0,,,,1.0,
101,5,3.0,17,14,3.0,chÝ,1.0,6.0,4.0,2.0,1400.0,,,0.0,,,,1.0,
101,5,3.0,17,14,1.0,khuª,1.0,5.0,4.0,5.0,3000.0,2.0,250.0,0.0,,,,1.0,
101,5,3.0,17,20,2.0,b×nh,1.0,5.0,4.0,3.0,1800.0,0.0,,0.0,,,,1.0,
101,5,3.0,17,20,1.0,h¼n,1.0,6.0,4.0,2.0,560.0,0.0,,1.0,13000.0,1.0,4000.0,1.0,
101,5,11.0,7,13,,,,,,,,,,,,,,,
101,5,11.0,7,14,5.0,nguyªn,1.0,5.0,4.0,1.0,500.0,1.0,0.0,0.0,,,,1.0,
101,5,11.0,7,15,5.0,bÝch,1.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,5,17.0,18,13,,,,,,,,,,,,,,,
101,5,17.0,18,14,5.0,Cãm,1.0,6.0,4.0,0.0,,,,1.0,4000.0,,,1.0,
101,5,17.0,18,19,,,,,,,,,,,,,,,
101,5,25.0,12,13,,,,,,,,,,,,,,,
101,5,25.0,12,14,3.0,®¨ng,1.0,6.0,4.0,1.0,1100.0,,,0.0,,,,1.0,
101,5,25.0,12,15,2.0,quy,1.0,6.0,4.0,3.0,1280.0,,,0.0,,,,1.0,
101,5,33.0,12,14,,,,,,,,,,,,,,,
101,5,33.0,12,15,2.0,hµ,1.0,5.0,4.0,3.0,2000.0,3.0,2000.0,0.0,,,,1.0,
101,5,33.0,12,24,6.0,hµ,1.0,5.0,4.0,1.0,200.0,0.0,,0.0,,,,1.0,
101,5,33.0,12,24,1.0,b¶o,1.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,5,33.0,12,24,2.0,g¸i,1.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,,,,1.0,
101,5,35.0,16,14,4.0,chi,1.0,5.0,3.0,1.0,130.0,0.0,,0.0,,,,1.0,
101,5,35.0,16,15,2.0,t¬,1.0,3.0,3.0,1.0,160.0,1.0,100.0,0.0,,,,1.0,
101,5,35.0,16,19,4.0,ph­¬ng,1.0,5.0,3.0,1.0,220.0,0.0,,0.0,,,,1.0,
101,6,1.0,10,13,1.0,v­îng,1.0,6.0,4.0,12.0,12000.0,,,0.0,,,,2.0,9.0
101,6,1.0,10,14,2.0,Trang,1.0,5.0,3.0,1.0,150.0,,,0.0,,,,1.0,
101,6,1.0,10,14,1.0,Phong,1.0,5.0,3.0,1.0,250.0,,,0.0,,,,1.0,
101,6,1.0,10,19,,,,,,,,,,,,,,,
101,6,7.0,17,13,4.0,Hoa,1.0,4.0,4.0,2.0,300.0,,,0.0,,,,1.0,
101,6,7.0,17,13,6.0,Trµ,1.0,4.0,4.0,12.0,1500.0,12.0,400.0,1.0,600.0,1.0,600.0,2.0,4.0
101,6,7.0,17,13,1.0,H­íng,1.0,4.0,4.0,0.0,,,,1.0,200.0,1.0,200.0,1.0,
101,6,7.0,17,13,2.0,ThuËn,1.0,4.0,4.0,12.0,360.0,12.0,360.0,1.0,700.0,1.0,250.0,1.0,
101,6,7.0,17,13,5.0,HuyÒn,1.0,4.0,4.0,12.0,1500.0,12.0,400.0,0.0,,,,2.0,4.0
101,6,7.0,17,14,4.0,Hoµn,1.0,2.0,4.0,12.0,2000.0,12.0,2000.0,0.0,,,,3.0,8.0
101,6,7.0,17,14,3.0,D­¬ng,1.0,4.0,4.0,6.0,1000.0,6.0,200.0,0.0,,,,1.0,
101,6,7.0,17,19,4.0,Minh,1.0,4.0,4.0,12.0,1200.0,12.0,240.0,0.0,,,,1.0,
101,6,7.0,17,19,3.0,Kiªn,1.0,4.0,4.0,14.0,1680.0,14.0,280.0,0.0,,,,1.0,
101,6,11.0,12,13,5.0,Trinh,1.0,5.0,4.0,0.0,,,,1.0,600.0,,,1.0,
101,6,11.0,12,13,1.0,C­êng,1.0,5.0,4.0,6.0,240.0,0.0,,0.0,,,,1.0,
101,6,11.0,12,14,1.0,Ph­¬ng,1.0,5.0,4.0,1.0,300.0,,,0.0,,,,1.0,
101,6,11.0,12,14,1.0,Ph­¬ng,2.0,11.0,4.0,1.0,2200.0,,,0.0,,,,1.0,
101,6,11.0,12,15,2.0,th¶o,1.0,6.0,4.0,0.0,,,,1.0,2100.0,1.0,0.0,1.0,
101,6,21.0,13,13,1.0,quÕ,1.0,2.0,4.0,7.0,0.0,7.0,0.0,0.0,,,,1.0,
101,6,21.0,13,13,2.0,b¹t,1.0,2.0,4.0,12.0,0.0,12.0,0.0,0.0,,,,1.0,
101,6,21.0,13,14,2.0,t×nh,2.0,4.0,4.0,0.0,,,,1.0,500.0,1.0,500.0,1.0,
101,6,21.0,13,14,1.0,di,1.0,3.0,4.0,12.0,0.0,12.0,0.0,0.0,,,,1.0,
101,6,21.0,13,14,2.0,t×nh,4.0,11.0,4.0,1.0,200.0,0.0,,0.0,,,,1.0,
101,6,21.0,13,14,2.0,t×nh,3.0,12.0,4.0,4.0,1800.0,0.0,,0.0,,,,1.0,
101,6,21.0,13,14,2.0,t×nh,1.0,6.0,4.0,0.0,,,,1.0,4000.0,1.0,4000.0,1.0,
