tinh,huyen,xa,diaban,hoso,m4c2ma,m4c2c26,m4c2c27,m4c2c28
101,7,3.0,19,14,1.0,7.0,63.0,756.0
101,7,3.0,19,14,1.0,16.0,,6144.0
101,7,3.0,19,14,2.0,15.0,,19932.0
101,7,3.0,19,14,2.0,8.0,1077.0,12924.0
101,7,3.0,19,14,2.0,3.0,90.0,1080.0
101,7,3.0,19,14,2.0,14.0,90.0,1080.0
101,7,3.0,19,14,1.0,5.0,359.0,4308.0
101,7,3.0,19,15,,,,
101,7,11.0,15,13,,,,
101,7,11.0,15,14,1.0,4.0,26.0,312.0
101,7,11.0,15,14,1.0,16.0,,4356.0
101,7,11.0,15,14,1.0,3.0,9.0,108.0
101,7,11.0,15,14,1.0,1.0,307.0,3684.0
101,7,11.0,15,14,1.0,15.0,,4356.0
101,7,11.0,15,14,1.0,5.0,17.0,204.0
101,7,11.0,15,14,1.0,2.0,4.0,48.0
101,7,11.0,15,15,,,,
101,7,15.0,13,15,,,,
101,7,15.0,13,19,,,,
101,7,15.0,13,20,,,,
101,7,19.0,25,13,,,,
101,7,19.0,25,15,,,,
101,7,19.0,25,20,1.0,3.0,897.0,10764.0
101,7,19.0,25,20,1.0,7.0,2064.0,24768.0
101,7,19.0,25,20,1.0,4.0,38.0,456.0
101,7,19.0,25,20,1.0,15.0,,141648.0
101,7,19.0,25,20,2.0,5.0,144.0,1440.0
101,7,19.0,25,20,1.0,12.0,3410.0,40920.0
101,7,19.0,25,20,2.0,16.0,,3720.0
101,7,19.0,25,20,1.0,10.0,2692.0,32304.0
101,7,19.0,25,20,1.0,16.0,,141648.0
101,7,19.0,25,20,2.0,15.0,,3720.0
101,7,19.0,25,20,1.0,6.0,179.0,2148.0
101,7,19.0,25,20,1.0,14.0,1014.0,12168.0
101,7,19.0,25,20,1.0,5.0,1436.0,17232.0
101,7,19.0,25,20,2.0,2.0,22.0,220.0
101,7,19.0,25,20,1.0,2.0,74.0,888.0
101,7,19.0,25,20,2.0,14.0,206.0,2060.0
101,7,21.0,16,13,,,,
101,7,21.0,16,15,1.0,14.0,220.0,2640.0
101,7,21.0,16,15,1.0,16.0,,4440.0
101,7,21.0,16,15,1.0,3.0,30.0,360.0
101,7,21.0,16,15,1.0,6.0,10.0,120.0
101,7,21.0,16,15,1.0,2.0,10.0,120.0
101,7,21.0,16,15,1.0,1.0,100.0,1200.0
101,7,21.0,16,15,1.0,15.0,,4440.0
101,7,21.0,16,20,1.0,4.0,9.0,108.0
101,7,21.0,16,20,1.0,9.0,90.0,1080.0
101,7,21.0,16,20,1.0,15.0,,2376.0
101,7,21.0,16,20,1.0,16.0,,2376.0
101,7,21.0,16,20,1.0,7.0,90.0,1080.0
101,7,21.0,16,20,1.0,2.0,9.0,108.0
101,7,27.0,3,13,1.0,13.0,9.0,108.0
101,7,27.0,3,13,1.0,2.0,30.0,360.0
101,7,27.0,3,13,1.0,7.0,17.0,204.0
101,7,27.0,3,13,1.0,16.0,,13776.0
101,7,27.0,3,13,1.0,3.0,85.0,1020.0
101,7,27.0,3,13,1.0,4.0,43.0,516.0
101,7,27.0,3,13,1.0,15.0,,13776.0
101,7,27.0,3,13,1.0,9.0,26.0,312.0
101,7,27.0,3,13,1.0,5.0,17.0,204.0
101,7,27.0,3,13,1.0,12.0,26.0,312.0
101,7,27.0,3,13,1.0,1.0,852.0,10224.0
101,7,27.0,3,13,1.0,14.0,43.0,516.0
101,7,27.0,3,14,,,,
101,7,27.0,3,15,,,,
101,7,33.0,21,15,,,,
101,7,33.0,21,20,1.0,5.0,414.0,4968.0
101,7,33.0,21,20,1.0,6.0,257.0,3084.0
101,7,33.0,21,20,1.0,9.0,754.0,9048.0
101,7,33.0,21,20,1.0,3.0,322.0,3864.0
101,7,33.0,21,20,1.0,4.0,28.0,336.0
101,7,33.0,21,20,1.0,2.0,230.0,2760.0
101,7,33.0,21,20,1.0,16.0,,56064.0
101,7,33.0,21,20,1.0,14.0,166.0,1992.0
101,7,33.0,21,20,1.0,7.0,616.0,7392.0
101,7,33.0,21,20,1.0,10.0,1655.0,19860.0
101,7,33.0,21,20,1.0,15.0,,56064.0
101,7,33.0,21,20,1.0,12.0,230.0,2760.0
101,7,33.0,21,24,,,,
