tinh,huyen,xa,diaban,hoso,m4b11ma,m4b11c3,m4b11c4,m4b11c5,m4b11c6,m4b11c7,m4b11c8,m4b11c9,m4b11c10,m4b11c11,m4b11c12,m4b11c13,m4b11c14,m4b11c15,Vnotsell,Qnotsell,Sprice,NSprice
101,7,33.0,21,20,,,,,,,0.0,,,,,,,0.0,,,,
101,7,33.0,21,24,,,,,,,0.0,,,,,,,0.0,,,,
101,7,37.0,15,13,,,,,,,0.0,,,,,,,0.0,,,,
101,7,37.0,15,14,,,,,,,0.0,,,,,,,0.0,,,,
101,7,37.0,15,15,,,,,,,0.0,,,,,,,0.0,,,,
101,8,3.0,7,13,,,,,,,0.0,,,,,,,0.0,,,,
101,8,3.0,7,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,3.0,7,15,,,,,,,0.0,,,,,,,0.0,,,,
101,8,5.0,16,13,,,,,,,0.0,,,,,,,0.0,,,,
101,8,5.0,16,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,5.0,16,15,,,,,,,0.0,,,,,,,0.0,,,,
101,8,7.0,18,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,7.0,18,19,,,,,,,0.0,,,,,,,0.0,,,,
101,8,7.0,18,20,,,,,,,0.0,,,,,,,0.0,,,,
101,8,15.0,27,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,15.0,27,15,,,,,,,0.0,,,,,,,0.0,,,,
101,8,15.0,27,20,,,,,,,0.0,,,,,,,0.0,,,,
101,8,19.0,22,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,19.0,22,15,,,,,,,0.0,,,,,,,0.0,,,,
101,8,19.0,22,20,,,,,,,0.0,,,,,,,0.0,,,,
101,8,25.0,6,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,25.0,6,15,,,,,,,0.0,,,,,,,0.0,,,,
101,8,25.0,6,19,,,,,,,0.0,,,,,,,0.0,,,,
101,8,27.0,16,13,,,,,,,0.0,,,,,,,0.0,,,,
101,8,27.0,16,14,,,,,,,0.0,,,,,,,0.0,,,,
101,8,27.0,16,15,,,,,,,0.0,,,,,,,0.0,,,,
101,9,3.0,23,13,,,,,,,0.0,,,,,,,0.0,,,,
101,9,3.0,23,14,,,,,,,0.0,,,,,,,0.0,,,,
101,9,3.0,23,15,,,,,,,0.0,,,,,,,0.0,,,,
101,9,5.0,8,14,,,,,,,0.0,,,,,,,0.0,,,,
101,9,5.0,8,15,,,,,,,0.0,,,,,,,0.0,,,,
101,9,5.0,8,24,,,,,,,0.0,,,,,,,0.0,,,,
101,9,11.0,35,13,,,,,,,0.0,,,,,,,0.0,,,,
101,9,11.0,35,14,,,,,,,0.0,,,,,,,0.0,,,,
