tinh,huyen,xa,m9c8,m9c9a,m9c9b,m9c9c,m9c10,m9c11
101,17,33,6,1,2.0,0.0,2.0,1.0
101,17,33,8,1,2.0,0.0,2.0,
101,17,35,1,1,2.0,3.0,2.0,10.0
101,17,35,6,1,2.0,3.0,2.0,1.0
101,17,35,8,1,2.0,3.0,2.0,
101,17,37,1,2,6.0,1.0,2.0,5.0
101,17,37,4,2,3.0,1.0,1.0,5.0
101,17,37,6,2,6.0,1.0,2.0,5.0
101,17,37,8,2,6.0,1.0,2.0,
101,17,39,1,9,2.0,3.0,2.0,1.5
101,17,39,6,1,2.0,3.0,2.0,1.0
101,17,39,8,1,2.0,3.0,2.0,
101,19,17,1,2,1.0,0.0,2.0,0.3
101,19,17,4,2,1.0,0.0,2.0,0.5
101,19,17,6,2,1.0,0.0,2.0,0.5
101,19,17,8,2,1.0,3.0,2.0,
101,19,55,1,2,1.0,0.0,2.0,5.0
101,19,55,4,1,2.0,0.0,1.0,0.5
101,19,55,6,3,2.0,0.0,2.0,0.2
101,19,55,8,2,1.0,3.0,2.0,
101,21,13,1,1,6.0,0.0,1.0,7.0
101,21,13,8,1,6.0,0.0,2.0,
101,21,23,1,2,0.0,,2.0,1.0
101,21,23,4,2,0.0,,2.0,1.0
101,21,23,8,2,0.0,,2.0,
101,23,23,1,1,2.0,3.0,1.0,2.0
101,23,23,2,2,0.0,,2.0,2.0
101,23,23,3,2,0.0,,2.0,2.0
101,23,23,8,2,0.0,,9.0,
101,23,47,1,1,2.0,0.0,2.0,6.0
101,23,47,3,1,2.0,0.0,2.0,6.0
103,11,05,1,1,2.0,6.0,1.0,16.0
103,11,05,2,2,1.0,6.0,1.0,16.0
103,11,05,6,1,2.0,8.0,1.0,0.0
103,11,05,7,1,2.0,0.0,1.0,0.0
103,11,05,8,6,3.0,0.0,,
103,11,07,1,1,3.0,6.0,1.0,15.0
103,11,07,6,1,2.0,0.0,2.0,0.5
103,11,07,8,1,3.0,6.0,1.0,
103,11,14,1,1,6.0,2.0,2.0,8.0
103,11,14,3,1,6.0,2.0,2.0,1.0
103,11,14,4,6,1.0,0.0,1.0,1.0
103,11,14,6,6,7.0,8.0,,0.0
103,11,14,8,6,3.0,4.0,,
103,11,21,1,1,2.0,6.0,2.0,1.0
103,11,21,2,3,2.0,4.0,1.0,10.0
103,11,21,4,6,1.0,0.0,1.0,1.0
103,11,21,6,2,7.0,8.0,2.0,0.3
103,11,21,8,6,8.0,7.0,,
103,11,27,1,2,6.0,0.0,2.0,7.0
103,11,27,3,2,6.0,0.0,2.0,4.0
103,11,27,6,2,3.0,0.0,2.0,2.0
103,11,27,8,1,2.0,6.0,2.0,
103,11,35,1,2,0.0,,1.0,4.0
103,11,35,3,1,2.0,0.0,2.0,0.0
103,11,35,6,7,0.0,,,0.7
103,11,35,8,3,0.0,,,
103,11,43,4,1,2.0,6.0,1.0,5.0
103,11,43,6,1,2.0,6.0,1.0,2.0
103,11,43,8,1,2.0,6.0,1.0,
103,13,07,3,2,1.0,9.0,1.0,7.0
103,13,13,1,2,6.0,0.0,1.0,1.0
103,13,13,4,2,6.0,0.0,1.0,0.0
103,13,13,5,3,2.0,0.0,2.0,0.0
103,13,13,6,2,1.0,5.0,2.0,0.0
103,13,13,7,2,1.0,3.0,2.0,0.0
103,13,13,8,2,7.0,5.0,2.0,
103,15,03,1,2,1.0,3.0,1.0,8.0
103,15,03,3,2,1.0,3.0,1.0,8.0
103,15,03,6,1,3.0,4.0,1.0,5.0
103,15,03,8,1,3.0,4.0,1.0,
103,15,11,1,1,2.0,3.0,1.0,5.0
103,15,11,8,3,5.0,1.0,1.0,
103,17,17,4,2,8.0,6.0,1.0,1.0
103,17,17,8,3,7.0,8.0,,
103,17,23,3,2,0.0,,1.0,1.0
103,17,23,4,1,2.0,0.0,1.0,1.0
103,17,23,8,3,6.0,7.0,,
103,17,31,4,2,8.0,0.0,1.0,1.0
103,17,31,8,3,7.0,8.0,,
103,19,09,1,2,0.0,,1.0,3.0
103,19,09,3,2,0.0,,1.0,3.0
103,19,09,8,8,0.0,,,
103,19,17,3,3,6.0,5.0,,2.0
103,19,17,4,2,0.0,,2.0,2.0
103,19,17,8,3,6.0,0.0,,
103,19,25,1,2,0.0,,1.0,1.0
103,19,25,3,2,4.0,0.0,1.0,1.0
103,19,25,6,6,0.0,,,0.5
103,19,25,8,8,0.0,,,
103,21,17,1,1,2.0,3.0,1.0,10.0
