idstd2015,id2015,idstd2005,id2005,firm_size,c9b,d1a3,d2,d10,d11,i2b,i4b,n2a,n2b,n2i,n5a,n5b,_2015_h8,k1c,k2c,_2005_q86a1,_2005_q86a2,_2005_q86a3,_2005_q86a4,_2005_q86a5,_2005_q86a6,_2005_q86a8,_2005_q86a9,_2005_q86a10,_2005_q86a11,_2005_q91a1,_2005_q91a7,_2005_q91a12,_2005_q87a,_2005_q87d,2015_cost_main_activity,2015_cost_theft,2015_cost_spoilage,2015_total_vrcost,2015_finance_on_credit,2015_finance_from_receivables,2005_total_reinvestment,2005_total_assets,2005_receivables,2005_total_cost
599664.0,0.0,61083.0,0.0,1,140000000.0,70.0,20000000000.0,0.0,0.0,36000000.0,10000000.0,600000000.0,60000000.0,0.0,800000000.0,400000000.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000000000.0,0.0,0.0,1200000000.0,0.0,1200000000.0,0.0,0.0,0.0,0.0
599664.0,10851.0,0.0,0.0,1,0.0,100.0,5500000000.0,0.0,1.0,720000000.0,0.0,1700000000.0,100000000.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500000000.0,0.0,55000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599665.0,0.0,61038.0,2709.0,1,0.0,70.0,463000000.0,0.0,0.0,10000000.0,0.0,99000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,463.0,445.0,291.0,99.0,19.0,512.0,9.0,0.0,16.0,6.0,457.0,354.0,0.0,12.0,100.0,324100000.0,0.0,0.0,0.0,0.0,0.0,12.0,457.0,0.0,952.0
599665.0,0.0,61038.0,0.0,1,0.0,100.0,750000000.0,0.0,0.0,18000000.0,0.0,156000000.0,240000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599667.0,0.0,61044.0,2732.0,1,0.0,100.0,697000000.0,0.0,0.0,1000000.0,0.0,96000000.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,697.0,687.0,486.0,96.0,19.0,0.0,0.0,9.0,38.400002,3.0,922.0,392.0,166.0,10.0,100.0,697000000.0,0.0,0.0,0.0,0.0,0.0,10.0,756.0,166.0,651.400002
599668.0,0.0,61045.0,2733.0,1,0.0,70.0,800000000.0,0.0,0.0,7000000.0,0.0,84000000.0,0.0,0.0,18000000.0,90000000.0,0.0,0.0,50.0,800.0,700.0,527.0,84.0,15.0,0.60000002,0.0,18.0,21.6,5.0,780.0,220.0,138.0,100.0,100.0,560000000.0,0.0,0.0,108000000.0,0.0,54000000.0,100.0,642.0,138.0,671.2000000200001
599668.0,0.0,61045.0,0.0,1,0.0,50.0,2000000000.0,0.0,0.0,0.0,0.0,245000000.0,36000000.0,0.0,70000000.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,0.0,70000000.0,0.0,28000000.0,0.0,0.0,0.0,0.0
599668.0,10864.0,0.0,0.0,1,0.0,60.0,800000000.0,0.0,0.0,0.0,0.0,300000000.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599669.0,0.0,60727.0,9985.0,1,0.0,100.0,3827000064.0,0.0,0.0,12000000.0,0.0,276000000.0,0.0,0.0,731000000.0,0.0,0.0,0.0,100.0,3827.0,3727.0,2834.0,276.0,64.0,0.0,0.0,37.0,78.0,71.0,2496.0,865.0,88.0,42.0,10.0,3827000064.0,0.0,0.0,731000000.0,0.0,731000000.0,4.2,2408.0,88.0,3360.0
599671.0,0.0,60410.0,4831.0,1,0.0,30.0,2152000000.0,0.0,0.0,11000000.0,0.0,351000000.0,0.0,0.0,264000000.0,0.0,0.0,0.0,100.0,2152.0,2073.0,1344.0,351.0,99.0,0.0,0.0,38.0,148.0,77.6,1915.5,553.5,0.0,57.2,60.0,645600000.0,0.0,0.0,264000000.0,0.0,264000000.0,34.32,1915.5,0.0,2057.6
