idstd2015,id2015,idstd2005,id2005,firm_size,c9b,d1a3,d2,d10,d11,i2b,i4b,n2a,n2b,n2i,n5a,n5b,_2015_h8,k1c,k2c,_2005_q86a1,_2005_q86a2,_2005_q86a3,_2005_q86a4,_2005_q86a5,_2005_q86a6,_2005_q86a8,_2005_q86a9,_2005_q86a10,_2005_q86a11,_2005_q91a1,_2005_q91a7,_2005_q91a12,_2005_q87a,_2005_q87d,2015_cost_main_activity,2015_cost_theft,2015_cost_spoilage,2015_total_vrcost,2015_finance_on_credit,2015_finance_from_receivables,2005_total_reinvestment,2005_total_assets,2005_receivables,2005_total_cost
599627.0,0.0,60431.0,0.0,2,0.0,60.0,239000000000.0,0.0,0.0,700000000.0,0.0,15000000000.0,1000000000.0,0.0,15000000000.0,15000000000.0,0.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143400000000.0,0.0,0.0,30000000000.0,6000000000.0,21000000000.0,0.0,0.0,0.0,0.0
599627.0,10734.0,0.0,0.0,2,0.0,70.0,350000000000.0,1.0,1.0,500000000.0,350000000.0,45000000000.0,600000000.0,0.0,30000000000.0,500000000.0,700000000.0,60.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245000000000.0,3500000000.0,3500000000.0,31200000000.0,18720000000.0,24960000000.0,0.0,0.0,0.0,0.0
599628.0,0.0,60021.0,133.0,2,0.0,46.0,16145999872.0,0.0,0.0,100000000.0,0.0,4423000064.0,0.0,0.0,4481999872.0,144000000.0,0.0,0.0,0.0,16146.0,15708.0,7530.0,4423.0,356.5,313.60001,0.0,855.0,130.60001,10.8,23767.0,13662.0,3191.0,438.0,50.0,7427159941.12,0.0,0.0,4625999872.0,0.0,0.0,219.0,20576.0,3191.0,13619.50002
599628.0,0.0,60021.0,0.0,2,600000000.0,50.0,27000000000.0,0.0,0.0,0.0,0.0,6500000000.0,1600000000.0,0.0,300000000.0,0.0,0.0,100.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13500000000.0,0.0,0.0,300000000.0,300000000.0,210000000.0,0.0,0.0,0.0,0.0
599628.0,10736.0,0.0,0.0,2,0.0,70.0,25000000000.0,0.0,0.0,400000000.0,0.0,6500000000.0,840000000.0,0.0,400000000.0,0.0,300000000.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500000000.0,0.0,0.0,700000000.0,140000000.0,560000000.0,0.0,0.0,0.0,0.0
599629.0,0.0,60020.0,131.0,2,0.0,60.0,277937000000.0,0.0,0.0,20000000.0,0.0,13980999680.0,0.0,0.0,540000000.0,2468999936.0,0.0,0.0,60.0,277937.0,194878.0,86203.0,13981.0,2960.0,0.0,0.0,3156.0,2711.0,106.0,207952.0,189053.0,85681.0,2312.0,9.0,166762200000.0,0.0,0.0,3008999936.0,0.0,1805399961.6,208.07999999999998,122271.0,85681.0,109117.0
599629.0,0.0,60020.0,0.0,2,0.0,95.0,340000000000.0,0.0,0.0,0.0,0.0,30000000000.0,0.0,0.0,10000000000.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323000000000.0,0.0,0.0,10000000000.0,2500000000.0,2500000000.0,0.0,0.0,0.0,0.0
599629.0,10737.0,0.0,0.0,2,0.0,100.0,310000000000.0,0.0,0.0,650000000.0,0.0,65100000000.0,900000000.0,0.0,1200000000.0,570000000.0,550000000.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310000000000.0,0.0,0.0,2320000000.0,0.0,1624000000.0,0.0,0.0,0.0,0.0
599630.0,0.0,60897.0,0.0,2,0.0,80.0,289000000000.0,0.0,0.0,450000000.0,8000000.0,500000000.0,1200000000.0,0.0,3400000000.0,0.0,0.0,75.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231200000000.0,0.0,0.0,3400000000.0,2550000000.0,1870000000.0000002,0.0,0.0,0.0,0.0
599630.0,10740.0,0.0,0.0,2,0.0,100.0,9500000000.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
